frame,timestamp,upper_iou,lower_iou,mean_iou,error
0,0.0,0.9101706986468169,0.8698267689390675,0.8899987337929423,0.11000126620705775
1,16.0,0.893954163171854,0.8770953618587451,0.8855247625152995,0.11447523748470045
2,33.0,0.9088815183342547,0.8791466704031947,0.8940140943687247,0.1059859056312753
3,50.0,0.9039038356662425,0.8762101503825214,0.890056993024382,0.10994300697561799
4,66.0,0.8893233903237541,0.8715127908200864,0.8804180905719202,0.11958190942807978
5,83.0,0.876442876599165,0.8600768191942754,0.8682598478967202,0.13174015210327983
6,100.0,0.8737176191859816,0.8591076115485564,0.866412615367269,0.133587384632731
7,116.0,0.882497982605577,0.8629574111630368,0.872727696884307,0.12727230311569304
8,133.0,0.8918226556706591,0.8660244718715138,0.8789235637710864,0.12107643622891362
9,150.0,0.8967914679146791,0.8696580436252357,0.8832247557699574,0.1167752442300426
10,166.0,0.8951531357436577,0.8670410657973993,0.8810971007705285,0.1189028992294715
11,183.0,0.8902002060285753,0.8513169370312228,0.8707585715298991,0.1292414284701009
12,200.0,0.8976137940447214,0.8563451240135288,0.8769794590291251,0.12302054097087489
13,216.0,0.9001249595038645,0.8515695146212214,0.875847237062543,0.12415276293745703
14,233.0,0.8993324370682861,0.8360248447204969,0.8676786408943915,0.1323213591056085
15,250.0,0.9009705581870531,0.8413666550157287,0.8711686066013908,0.12883139339860916
16,266.0,0.9077076983923877,0.8308557237953988,0.8692817110938933,0.1307182889061067
17,283.0,0.9086683329050945,0.831304589418118,0.8699864611616063,0.13001353883839373
18,300.0,0.9122426110099454,0.8233952036230143,0.8678189073164799,0.13218109268352007
19,316.0,0.8999428897772701,0.8280450358239508,0.8639939628006105,0.13600603719938953
20,333.0,0.9209905935625423,0.8311159805916419,0.8760532870770921,0.12394671292290793
21,350.0,0.9117768500252328,0.8232633058021179,0.8675200779136754,0.13247992208632464
22,366.0,0.9193707885840443,0.8342461005199306,0.8768084445519875,0.12319155544801252
23,383.0,0.9213197969543148,0.837964815813743,0.8796423063840288,0.12035769361597115
24,400.0,0.9064761465775524,0.8390712570056045,0.8727737017915784,0.12722629820842157
25,416.0,0.887413641784999,0.8401147127835231,0.863764177284261,0.13623582271573897
26,433.0,0.8582544736960129,0.8429477131013342,0.8506010933986736,0.14939890660132638
