,frame,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0,6.44850558728649e-07,0.002186225028708577,0.001101781614124775,0.24253082275390625,0.3444637954235077,0.3043583035469055,2.72190009127371e-05,3.435941948737309e-07,4.734174865461682e-07,0.1685148924589157,0.08874163776636124,0.22802284359931946,0.23895984888076782,0.06338699162006378,0.08243650943040848,0.0627707988023758,0.0630585253238678,0.04094230756163597,0.03524058684706688,0.3309483528137207,0.20623405277729034,0.0040635764598846436,0.005785650573670864,0.00046480438322760165,0.0005234771524555981,0.0020635132677853107,1.790585884009488e-05,0.0005841302336193621,0.003740077605471015,0.0009562392951920629,0.00032576272496953607,0.00036477783578448,0.00371735286898911,0.0031620583031326532,0.0009240095969289541,0.0010583138791844249,0.032834604382514954,0.014963186345994473,0.025682957842946053,0.00020669621881097555,0.0008748272084631026,0.0009648844716139138,0.001006051548756659,0.004872917663305998,0.25584545731544495,0.17636607587337494,0.1127447634935379,0.16099676489830017,0.0009434130042791367,0.000944970641285181,3.80343976758013e-06,6.921661110936839e-07
1,1,7.456002890648961e-07,0.003034910885617137,0.0017478405497968197,0.20674777030944824,0.2871546745300293,0.23314008116722107,2.491780287527945e-05,3.351543682583724e-07,4.4153927092338563e-07,0.17657822370529175,0.12571728229522705,0.28169870376586914,0.2910851836204529,0.06253842264413834,0.08123177289962769,0.06288926303386688,0.06291934847831726,0.03152097016572952,0.025620315223932266,0.308552622795105,0.22070391476154327,0.003767983056604862,0.003931320272386074,0.00041056331247091293,0.000593083503190428,0.002047738991677761,1.524597428215202e-05,0.000645263644400984,0.0034477580338716507,0.0010467305546626449,0.00039379342342726886,0.00043246056884527206,0.0034839403815567493,0.003171601565554738,0.0006741114775650203,0.0007866094238124788,0.03326241299510002,0.016489921137690544,0.02477584220468998,0.00021279499924276024,0.0009996455628424883,0.0009551689145155251,0.0013461406342685223,0.006008310243487358,0.2533400058746338,0.18595878779888153,0.10523641854524612,0.16363929212093353,0.001011492102406919,0.0010689175687730312,3.517993491186644e-06,7.237262025228119e-07
2,2,7.552615670647356e-07,0.005041155032813549,0.003493180265650153,0.1599489003419876,0.22544898092746735,0.16635645925998688,2.2353813619702123e-05,2.945994026504195e-07,4.515580656061502e-07,0.15888173878192902,0.12223619222640991,0.3342832922935486,0.32781434059143066,0.05680645629763603,0.08500973135232925,0.06764654070138931,0.05727808550000191,0.02619205415248871,0.019544394686818123,0.29647096991539,0.1895735263824463,0.004354651086032391,0.0037607126869261265,0.0004006531089544296,0.000559627718757838,0.001861840020865202,1.4443464351643343e-05,0.0005913357599638402,0.0031662769615650177,0.0011523832799866796,0.0004216735251247883,0.0004622119595296681,0.0032574289944022894,0.0028550243005156517,0.0005843056715093553,0.0006754214409738779,0.034409839659929276,0.018804902210831642,0.02259279228746891,0.0002290163974976167,0.0009800661355257034,0.0008705199579708278,0.0014474771451205015,0.006609087344259024,0.22008535265922546,0.17405259609222412,0.11364556849002838,0.1895419955253601,0.0009882859885692596,0.0011521345004439354,3.476825440884568e-06,7.165384658947005e-07
3,3,7.649802569176245e-07,0.006815899163484573,0.005300852004438639,0.13391661643981934,0.1941925585269928,0.13846571743488312,2.1243375158519484e-05,2.752333898570214e-07,4.6882885840204835e-07,0.1476273238658905,0.11869215220212936,0.3668462336063385,0.3501644432544708,0.05198027938604355,0.09067613631486893,0.07315588742494583,0.05169861018657684,0.023378172889351845,0.016667407006025314,0.28762850165367126,0.1668824851512909,0.004818017594516277,0.0037113623693585396,0.0003991573175881058,0.0005625495105050504,0.0017551691271364689,1.3300779755809344e-05,0.0005545248277485371,0.003029299434274435,0.0011877022916451097,0.000441066367784515,0.0004835952422581613,0.0032398721668869257,0.002733102533966303,0.0005436431965790689,0.0006344987777993083,0.03529017046093941,0.019628386944532394,0.022663190960884094,0.0002367681881878525,0.0009553914424031973,0.0007892524008639157,0.0015151745174080133,0.007111446000635624,0.20644623041152954,0.1663762778043747,0.12166929990053177,0.2069658488035202,0.0010572804603725672,0.001276537892408669,3.5723544442589628e-06,7.17168802566448e-07
4,4,8.124794703689986e-07,0.008041026070713997,0.006264663767069578,0.12321002036333084,0.1742793321609497,0.12913917005062103,2.1224785086815245e-05,2.732324446697021e-07,4.798859549737244e-07,0.14749738574028015,0.1220744326710701,0.38305407762527466,0.3625895082950592,0.0504014752805233,0.09537113457918167,0.07754144817590714,0.046903349459171295,0.022039327770471573,0.015310934744775295,0.2846544086933136,0.16135339438915253,0.004819824360311031,0.0035260894801467657,0.0003846507170237601,0.0005774531746283174,0.001845875638537109,1.2828842955059372e-05,0.0006073432159610093,0.0030159775633364916,0.0012395090889185667,0.0004655941156670451,0.000504946568980813,0.003045474411919713,0.002800972433760762,0.0005004840204492211,0.000590338371694088,0.03727974370121956,0.0207761749625206,0.02117449790239334,0.00023004588729236275,0.0010500096250325441,0.0008417458739131689,0.0016512058209627867,0.007104278076440096,0.2113392949104309,0.17074920237064362,0.12598073482513428,0.21011430025100708,0.001070754136890173,0.0013175439089536667,3.3821959277702263e-06,7.189732968981843e-07
5,5,8.421919801548938e-07,0.007681528106331825,0.005909621249884367,0.12391243875026703,0.1759803295135498,0.12991255521774292,2.17323140532244e-05,2.816561277541041e-07,4.670121995786758e-07,0.15371768176555634,0.13105052709579468,0.3703109920024872,0.35366520285606384,0.0491260401904583,0.09848671406507492,0.08007309585809708,0.045435287058353424,0.023015236482024193,0.01613570936024189,0.28270334005355835,0.1673104166984558,0.004564102739095688,0.003289006417617202,0.0003727057483047247,0.0005976810352876782,0.002002721419557929,1.2826531019527465e-05,0.000677141360938549,0.002813802333548665,0.0012387360911816359,0.0005010833265259862,0.0005326340324245393,0.0029698265716433525,0.0028456379659473896,0.0004919827915728092,0.0005635254201479256,0.03662422299385071,0.020998744294047356,0.020072095096111298,0.00022594201436731964,0.0011318182805553079,0.0009396671666763723,0.0017507525626569986,0.00709462771192193,0.22445166110992432,0.18205103278160095,0.1287565976381302,0.20305459201335907,0.0010977579513564706,0.0013644457794725895,3.1805170692678075e-06,7.16184615612292e-07
6,6,8.409647875851078e-07,0.0075286878272891045,0.005705239251255989,0.12338516116142273,0.17607122659683228,0.13220469653606415,2.203394797106739e-05,2.8291117359913187e-07,4.6642867346236017e-07,0.15753977000713348,0.1321006566286087,0.3633981943130493,0.349710077047348,0.04913024976849556,0.10009151697158813,0.08139760047197342,0.04444465786218643,0.023564113304018974,0.016610009595751762,0.2847527861595154,0.16849441826343536,0.004430854693055153,0.003278401680290699,0.00037429769872687757,0.0006186353275552392,0.002052632626146078,1.2649360542127397e-05,0.0006980886682868004,0.002837830688804388,0.0011972134234383702,0.0005041026161052287,0.0005370170110836625,0.003000695025548339,0.00298191886395216,0.0004985275445505977,0.0005737871979363263,0.03606058284640312,0.020242754369974136,0.020329724997282028,0.00021280937653500587,0.0011469655437394977,0.0009617090108804405,0.001719252672046423,0.006868397817015648,0.2314867526292801,0.18488341569900513,0.12680479884147644,0.1995057612657547,0.0010907071409747005,0.0013241369742900133,3.1522142762696603e-06,7.163150712585775e-07
7,7,8.09396851764177e-07,0.008140185847878456,0.005996495019644499,0.1219547763466835,0.16539065539836884,0.12784239649772644,2.1539555746130645e-05,2.7060423235525377e-07,4.5630829959009134e-07,0.16022640466690063,0.13533620536327362,0.38076359033584595,0.3636806607246399,0.049928877502679825,0.09908308833837509,0.08035939186811447,0.04503519833087921,0.022279009222984314,0.015439658425748348,0.27677518129348755,0.1648872196674347,0.004369661211967468,0.0031972997821867466,0.00037746463203802705,0.0006230812286958098,0.0020040064118802547,1.2472911294025835e-05,0.000678492127917707,0.0027410616166889668,0.0012226076796650887,0.0005119864363223314,0.0005401279195211828,0.0029324733186513186,0.0030470918864011765,0.0004939897917211056,0.0005612702807411551,0.03562512993812561,0.020691728219389915,0.019571298733353615,0.00020264486374799162,0.001137375133112073,0.0009817956015467644,0.0016673201462253928,0.006625426933169365,0.22936618328094482,0.1851472407579422,0.12941060960292816,0.19612112641334534,0.0010289541678503156,0.0012545414501801133,3.1083079647942213e-06,7.031023869785713e-07
8,8,8.141408898154623e-07,0.00853547640144825,0.006252729333937168,0.12175340205430984,0.15884095430374146,0.12321733683347702,2.1677540644304827e-05,2.6491716198506765e-07,4.569362488382467e-07,0.1615239977836609,0.13774752616882324,0.39261454343795776,0.37306880950927734,0.05118333920836449,0.09622783213853836,0.07731929421424866,0.047568488866090775,0.021375395357608795,0.01479522604495287,0.2724014222621918,0.16408708691596985,0.0043432763777673244,0.0031650024466216564,0.00037243138649500906,0.0006507737562060356,0.0021060227882117033,1.2410147064656485e-05,0.0007282309234142303,0.0026691078674048185,0.0012771362671628594,0.0005025017308071256,0.0005221914616413414,0.0027858696412295103,0.00300228432752192,0.0004767610225826502,0.000540505105163902,0.036323703825473785,0.02203047275543213,0.017806781455874443,0.00020422339730430394,0.0012153548886999488,0.001119145192205906,0.0016578369541093707,0.006191267631947994,0.2360048145055771,0.19394493103027344,0.12684887647628784,0.18816407024860382,0.0009324361453764141,0.0011475691571831703,2.873038738471223e-06,7.109833859431092e-07
9,9,8.211721365114499e-07,0.007716689724475145,0.005854017101228237,0.12942172586917877,0.16406574845314026,0.1230883002281189,2.2248708773986436e-05,2.689401981115225e-07,4.627560770131822e-07,0.1578056663274765,0.13636308908462524,0.3907347023487091,0.37157589197158813,0.05107829347252846,0.09560803323984146,0.07651087641716003,0.04966818168759346,0.02168833091855049,0.015142620541155338,0.27216532826423645,0.16176079213619232,0.0045115891844034195,0.0032812978606671095,0.00037430127849802375,0.0006772126071155071,0.0021650076378136873,1.226292170031229e-05,0.0007610636530444026,0.002715006237849593,0.0012479188153520226,0.0004652713832911104,0.00048636525752954185,0.002760628005489707,0.002835571300238371,0.00046571530401706696,0.0005466063739731908,0.037430159747600555,0.02173089049756527,0.017707038670778275,0.00022678742243442684,0.0012471213703975081,0.0012197480536997318,0.0016666814917698503,0.005904188845306635,0.24901588261127472,0.20148631930351257,0.11654044687747955,0.18076640367507935,0.0009238040074706078,0.001100835739634931,2.839071157723083e-06,7.238849661916902e-07
