frame,timestamp,upper_iou,lower_iou,mean_iou,error
1,0.0,0.8265313834410308,0.8716157577999403,0.8490735706204855,0.1509264293795145
2,0.017,0.7915991733229067,0.8142030350022154,0.8029011041625611,0.1970988958374389
3,0.033,0.7853960442182577,0.8187581681172316,0.8020771061677446,0.19792289383225536
4,0.05,0.7719168727621719,0.8249451424897623,0.7984310076259671,0.20156899237403292
5,0.067,0.7718435754189944,0.8171807702493623,0.7945121728341784,0.2054878271658216
6,0.083,0.7618081450610514,0.8089769488336055,0.7853925469473284,0.2146074530526716
7,0.1,0.76101313459268,0.7931388520034497,0.7770759932980649,0.22292400670193513
8,0.117,0.7527332661844154,0.771844331641286,0.7622887989128506,0.23771120108714938
9,0.133,0.7644433655749338,0.7701874257318786,0.7673153956534062,0.23268460434659377
10,0.15,0.7658299897359335,0.776628061515094,0.7712290256255138,0.22877097437448624
11,0.167,0.7497503132433856,0.7854007854007854,0.7675755493220855,0.2324244506779145
12,0.183,0.7684299065420561,0.7901184045397501,0.7792741555409031,0.22072584445909693
13,0.2,0.7777985493157855,0.804412869731539,0.7911057095236622,0.20889429047633779
14,0.217,0.782078691721991,0.8112017296587208,0.7966402106903558,0.20335978930964416
15,0.233,0.7850440930372488,0.8202039181011854,0.8026240055692171,0.1973759944307829
16,0.25,0.7887041555542946,0.8232873865761585,0.8059957710652266,0.19400422893477343
17,0.267,0.7951114306254493,0.8228977091176838,0.8090045698715665,0.19099543012843345
18,0.283,0.7869868465941398,0.8170883623076072,0.8020376044508735,0.19796239554912654
19,0.3,0.7957438723161695,0.8207699368585019,0.8082569045873357,0.19174309541266432
20,0.317,0.7949554333396548,0.8192568272561594,0.8071061302979071,0.19289386970209288
21,0.333,0.7967755459846781,0.826505519072237,0.8116405325284576,0.18835946747154242
22,0.35,0.8052383127760012,0.8352052563598584,0.8202217845679298,0.17977821543207018
23,0.367,0.8020352936692458,0.8334718719621297,0.8177535828156877,0.18224641718431234
24,0.383,0.7960665485106626,0.8273174157303371,0.8116919821204999,0.18830801787950013
25,0.4,0.7900744511129681,0.8272997282075709,0.8086870896602696,0.1913129103397304
26,0.417,0.7898925057925323,0.8243949606917137,0.807143733242123,0.19285626675787704
27,0.433,0.7891821131116128,0.812316143153903,0.8007491281327579,0.1992508718672421
28,0.45,0.7853294889790963,0.8153326163773237,0.8003310526782099,0.19966894732179008
29,0.467,0.7825667599667145,0.8077575184835177,0.7951621392251161,0.20483786077488386
30,0.483,0.7857142857142857,0.8127400013862895,0.7992271435502876,0.20077285644971243
31,0.5,0.7868211194678559,0.8174841508174842,0.80215263514267,0.19784736485733
32,0.517,0.7881952970063273,0.8199609973533918,0.8040781471798595,0.19592185282014052
33,0.533,0.7905986142137745,0.8205538102254719,0.8055762122196233,0.19442378778037672
34,0.55,0.7884448141566152,0.822669612215692,0.8055572131861536,0.1944427868138464
35,0.567,0.7891160325572592,0.8246727103608169,0.806894371459038,0.19310562854096203
36,0.583,0.7907882241215575,0.8297023070159524,0.8102452655687549,0.18975473443124513
37,0.6,0.7825218714340053,0.8353767542686618,0.8089493128513335,0.19105068714866646
38,0.617,0.7961006073760972,0.8303091116871534,0.8132048595316252,0.18679514046837475
39,0.633,0.7952078444838704,0.8292523260348766,0.8122300852593736,0.18776991474062643
40,0.65,0.7919556969302112,0.828814807609466,0.8103852522698386,0.1896147477301614
41,0.667,0.7891361032336651,0.8264205694833913,0.8077783363585282,0.19222166364147175
42,0.683,0.8038437194314978,0.83480096164598,0.8193223405387389,0.18067765946126113
43,0.7,0.7970446551460468,0.8434221827961531,0.8202334189711,0.17976658102889997
44,0.717,0.7960679584067276,0.8424153992928897,0.8192416788498087,0.1807583211501913
45,0.733,0.7960457658956795,0.8421773123712213,0.8191115391334505,0.18088846086654953
46,0.75,0.7913013841289076,0.8429036210757594,0.8171025026023335,0.18289749739766648
47,0.767,0.7895283999621964,0.8377298498853388,0.8136291249237676,0.1863708750762324
48,0.783,0.795595997048864,0.8383951900654623,0.8169955935571631,0.1830044064428369
49,0.8,0.7922964132641552,0.8377753660977294,0.8150358896809423,0.18496411031905768
50,0.817,0.8192280213945047,0.83616892528954,0.8276984733420223,0.1723015266579777
51,0.833,0.7919416267581734,0.8465785701105701,0.8192600984343718,0.18073990156562825
52,0.85,0.7963690633619224,0.8433490026680218,0.8198590330149721,0.1801409669850279
53,0.867,0.7900342478642128,0.8385692068429238,0.8143017273535683,0.18569827264643168
54,0.883,0.7898568354075044,0.8305462809685474,0.810201558188026,0.18979844181197403
55,0.9,0.7886780435719236,0.8233018418323007,0.8059899427021122,0.19401005729788778
56,0.917,0.773468356325927,0.8096054649379618,0.7915369106319444,0.20846308936805558
57,0.933,0.766648609269049,0.8106947697111632,0.788671689490106,0.21132831050989398
58,0.95,0.7650492316873042,0.813597012629194,0.7893231221582491,0.21067687784175093
59,0.967,0.7705984307732449,0.8171766449069738,0.7938875378401093,0.20611246215989065
60,0.983,0.7722475862585135,0.8223387886417681,0.7972931874501408,0.20270681254985923
61,1.0,0.7687318942154939,0.8241523351821065,0.7964421146988002,0.20355788530119978
62,1.017,0.7687889299168252,0.826428431180051,0.7976086805484381,0.20239131945156186
63,1.033,0.778311805346951,0.8243714545836544,0.8013416299653027,0.19865837003469733
64,1.05,0.7839728520512627,0.8339345619920554,0.808953707021659,0.19104629297834097
65,1.067,0.7896641904184354,0.8367760169860934,0.8132201037022644,0.18677989629773561
66,1.083,0.7918644840290174,0.8477757051608162,0.8198200945949168,0.18017990540508322
67,1.1,0.8042246558673664,0.8545632361487109,0.8293939460080386,0.17060605399196138
68,1.117,0.803700953795191,0.8499563662978915,0.8268286600465413,0.17317133995345868
69,1.133,0.8104806484758534,0.8491735245542961,0.8298270865150748,0.17017291348492525
70,1.15,0.8006007481014094,0.8404521905620003,0.8205264693317048,0.1794735306682952
71,1.167,0.8005089831731682,0.8353470075864007,0.8179279953797844,0.18207200462021556
72,1.183,0.7953878486093493,0.8257318952234206,0.8105598719163849,0.1894401280836151
73,1.2,0.7933228549245365,0.8268195483465007,0.8100712016355186,0.1899287983644814
74,1.217,0.7883344036870538,0.8176086623707395,0.8029715330288967,0.19702846697110332
75,1.233,0.7799486246789042,0.8084177363861215,0.7941831805325128,0.2058168194674872
76,1.25,0.7767086247086247,0.8065850430178689,0.7916468338632467,0.20835316613675325
77,1.267,0.7668224645745233,0.7935774801858432,0.7801999723801832,0.21980002761981676
78,1.283,0.7641430562006503,0.8015518619587089,0.7828474590796796,0.21715254092032044
79,1.3,0.7670448226003782,0.8097518442140811,0.7883983334072296,0.21160166659277035
80,1.317,0.7675908947787594,0.8063519525457242,0.7869714236622418,0.21302857633775818
81,1.333,0.7950039271278329,0.8143552110817942,0.8046795691048135,0.19532043089518647
82,1.35,0.7682156133828997,0.8119674537945418,0.7900915335887208,0.20990846641127925
83,1.367,0.7708542526683774,0.8050588509338047,0.787956551801091,0.21204344819890897
84,1.383,0.7616231647634584,0.8122809438388299,0.7869520543011441,0.21304794569885588
85,1.4,0.7684298596262898,0.8161829740187949,0.7923064168225424,0.20769358317745756
86,1.417,0.7927197247794584,0.8201183595969675,0.8064190421882129,0.19358095781178708
87,1.433,0.7784442326737299,0.8162299053072011,0.7973370689904655,0.20266293100953447
88,1.45,0.77186871321064,0.8233873082922655,0.7976280107514527,0.20237198924854727
89,1.467,0.7732514602366333,0.8173686531782347,0.795310056707434,0.20468994329256596
90,1.483,0.7722005560635181,0.8189467295649535,0.7955736428142358,0.20442635718576418
91,1.5,0.7883616797110174,0.8287637157624167,0.8085626977367171,0.19143730226328293
92,1.517,0.8013026848941569,0.8486043057618367,0.8249534953279968,0.17504650467200322
93,1.533,0.8184495353195396,0.8591876851518592,0.8388186102356994,0.16118138976430063
94,1.55,0.814604041297368,0.8593272171253823,0.8369656292113752,0.16303437078862482
95,1.567,0.8026643979968677,0.859410087205698,0.8310372426012829,0.16896275739871713
96,1.583,0.8076521133302369,0.8669230875277445,0.8372876004289906,0.16271239957100936
97,1.6,0.749412077074799,0.860566989007356,0.8049895330410775,0.19501046695892255
98,1.617,0.727450379339413,0.8598616630684397,0.7936560212039263,0.2063439787960737
99,1.633,0.7406073378676118,0.8350035019664889,0.7878054199170503,0.21219458008294967
100,1.65,0.7337808031639793,0.8109040259998673,0.7723424145819233,0.22765758541807668
101,1.667,0.7416476804962571,0.7916682995649958,0.7666579900306265,0.2333420099693735
102,1.683,0.7459659540012724,0.7844375580224637,0.765201756011868,0.23479824398813198
103,1.7,0.7362232091137285,0.7800610429932116,0.75814212605347,0.24185787394653002
104,1.717,0.7111195807527394,0.7761983732132985,0.743658976983019,0.25634102301698103
105,1.733,0.6919874536641004,0.7804328639363481,0.7362101588002243,0.26378984119977567
106,1.75,0.6705443867178676,0.779863548527034,0.7252039676224509,0.2747960323775491
107,1.767,0.6702093519340041,0.7691595367278798,0.719684444330942,0.28031555566905797
108,1.783,0.6657297011771808,0.7720634176819744,0.7188965594295775,0.28110344057042247
109,1.8,0.6726068473392546,0.7640739926834628,0.7183404200113587,0.28165957998864133
110,1.817,0.663572867443568,0.7684918721319126,0.7160323697877403,0.2839676302122597
111,1.833,0.6538998265067512,0.7696011980840983,0.7117505122954247,0.28824948770457526
112,1.85,0.6435900326981622,0.7745484125037121,0.7090692226009372,0.2909307773990628
113,1.867,0.6588936784337556,0.7828454643055789,0.7208695713696672,0.27913042863033277
114,1.883,0.6724746612003188,0.7767156330963716,0.7245951471483452,0.27540485285165484
115,1.9,0.677632455689455,0.7719202160179336,0.7247763358536943,0.2752236641463057
116,1.917,0.682383947980993,0.7726613211149294,0.7275226345479612,0.2724773654520388
117,1.933,0.6725399062821441,0.771991124486725,0.7222655153844346,0.2777344846155654
118,1.95,0.6774218125023809,0.7807314074984635,0.7290766100004222,0.27092338999957777
119,1.967,0.6771198051453798,0.7861905676073463,0.7316551863763631,0.26834481362363694
120,1.983,0.6780285929270128,0.7784452386383799,0.7282369157826963,0.27176308421730366
121,2.0,0.6850828729281768,0.7766266006358213,0.7308547367819991,0.2691452632180009
122,2.017,0.6919763160891184,0.7771591953950601,0.7345677557420892,0.2654322442579108
123,2.033,0.6738544474393531,0.7758583785553304,0.7248564129973417,0.2751435870026583
124,2.05,0.6753666233525153,0.774059682348059,0.7247131528502871,0.27528684714971285
125,2.067,0.6802554118146419,0.7776187427021733,0.7289370772584076,0.2710629227415924
126,2.083,0.6805169280973041,0.7820854606272478,0.731301194362276,0.26869880563772397
127,2.1,0.6792452830188679,0.7913564851553742,0.735300884087121,0.264699115912879
128,2.117,0.67673208883642,0.797146605444408,0.736939347140414,0.263060652859586
129,2.133,0.6749018957607915,0.7962257029628231,0.7355637993618074,0.2644362006381926
130,2.15,0.6707741959144754,0.793190527043156,0.7319823614788157,0.2680176385211843
131,2.167,0.6731004958012404,0.7984345655982555,0.735767530699748,0.264232469300252
132,2.183,0.6858551425848545,0.8044299018374025,0.7451425222111285,0.25485747778887147
133,2.2,0.6887982059483108,0.8032712575076493,0.7460347317279801,0.25396526827201993
134,2.217,0.6878919528111537,0.806039635105379,0.7469657939582663,0.25303420604173366
135,2.233,0.6893366918555835,0.7992977038402151,0.7443171978478993,0.2556828021521007
136,2.25,0.6872893552677124,0.8084199374432449,0.7478546463554787,0.2521453536445213
137,2.267,0.6804422264315897,0.8156336360047375,0.7480379312181635,0.25196206878183647
138,2.283,0.6627682817118622,0.8095750128008192,0.7361716472563407,0.26382835274365934
139,2.3,0.6582988777318369,0.8154929220795665,0.7368958999057017,0.2631041000942983
140,2.317,0.6357063814090741,0.8089198659354052,0.7223131236722397,0.27768687632776035
141,2.333,0.6458017498036493,0.8028456565300129,0.7243237031668311,0.27567629683316885
142,2.35,0.6478275253639171,0.8052820852887166,0.7265548053263169,0.2734451946736831
143,2.367,0.6451267922202686,0.8085087372196622,0.7268177647199654,0.2731822352800346
144,2.383,0.6739390859258722,0.8089863279257219,0.7414627069257971,0.2585372930742029
145,2.4,0.6842402286504888,0.8053913065498424,0.7448157676001657,0.25518423239983434
146,2.417,0.6929625425652668,0.8101103541891858,0.7515364483772262,0.24846355162277378
147,2.433,0.6906228860815036,0.8038286556856419,0.7472257708835728,0.2527742291164272
148,2.45,0.6850406563089879,0.7989281859484425,0.7419844211287152,0.2580155788712848
149,2.467,0.6903198745304009,0.8093850887812752,0.7498524816558381,0.25014751834416193
150,2.483,0.6911377595788242,0.8066675037669513,0.7489026316728877,0.25109736832711227
151,2.5,0.68516086671044,0.8075007839448103,0.7463308253276251,0.25366917467237493
152,2.517,0.6969302189030991,0.8104768622314029,0.753703540567251,0.24629645943274903
153,2.533,0.6866611736702372,0.8037125597785049,0.7451868667243711,0.25481313327562893
154,2.55,0.6712612743671806,0.8021401095114586,0.7367006919393196,0.26329930806068036
155,2.567,0.6450630007348592,0.7813951165926,0.7132290586637295,0.28677094133627046
156,2.583,0.6156356992070391,0.7505547497737612,0.6830952244904002,0.31690477550959983
157,2.6,0.5850112835225583,0.7232020198269781,0.6541066516747682,0.3458933483252318
158,2.617,0.5890720412269246,0.7167936279496787,0.6529328345883016,0.34706716541169835
159,2.633,0.6072422417133396,0.7107827844815753,0.6590125130974575,0.34098748690254255
160,2.65,0.646351545650611,0.7273963290278722,0.6868739373392416,0.3131260626607584
161,2.667,0.6802961892721691,0.7419652248438494,0.7111307070580093,0.2888692929419907
162,2.683,0.7056455285737708,0.7630409325597488,0.7343432305667599,0.2656567694332401
163,2.7,0.7331298495936455,0.7667765290685109,0.7499531893310782,0.25004681066892176
164,2.717,0.7523458690711825,0.7866923024102177,0.7695190857407002,0.23048091425929984
165,2.733,0.7657885974323875,0.7901891171310558,0.7779888572817216,0.22201114271827838
166,2.75,0.7793986139056561,0.804005722460658,0.7917021681831571,0.20829783181684292
167,2.767,0.8083905649187917,0.8070513895878767,0.8077209772533342,0.19227902274666575
168,2.783,0.8131408966323578,0.7909222398236793,0.8020315682280186,0.19796843177198142
169,2.8,0.8133371713682594,0.799839849790148,0.8065885105792037,0.19341148942079633
170,2.817,0.7989873417721519,0.8079254274129499,0.8034563845925509,0.19654361540744913
171,2.833,0.800526797556556,0.7926851223531692,0.7966059599548626,0.2033940400451374
172,2.85,0.7988759009597789,0.7825062034739454,0.7906910522168622,0.2093089477831378
173,2.867,0.8011361512875136,0.7838351560563069,0.7924856536719103,0.20751434632808974
174,2.883,0.8015960942634495,0.7887772841413946,0.795186689202422,0.20481331079757803
175,2.9,0.8209774746073986,0.7810068744082658,0.8009921745078321,0.1990078254921679
176,2.917,0.8091325732170802,0.7783109668903311,0.7937217700537056,0.2062782299462944
177,2.933,0.8117931547619047,0.7746921630266175,0.7932426588942612,0.20675734110573885
178,2.95,0.8059668137884798,0.7659737522751221,0.7859702830318009,0.21402971696819906
179,2.967,0.8050780958074882,0.7730973597133167,0.7890877277604025,0.21091227223959752
180,2.983,0.804084677795393,0.7740092774848931,0.7890469776401431,0.2109530223598569
181,3.0,0.7966584711667412,0.778600334240294,0.7876294027035176,0.21237059729648244
182,3.017,0.797741731463224,0.7742278138752087,0.7859847726692164,0.2140152273307836
