,frame,timestamp,upper_x_0,upper_y_0,upper_x_1,upper_y_1,upper_x_2,upper_y_2,upper_x_3,upper_y_3,upper_x_4,upper_y_4,upper_x_5,upper_y_5,upper_x_6,upper_y_6,upper_x_7,upper_y_7,upper_x_8,upper_y_8,upper_x_9,upper_y_9,upper_x_10,upper_y_10,upper_x_11,upper_y_11,upper_x_12,upper_y_12,upper_x_13,upper_y_13,upper_x_14,upper_y_14,upper_x_15,upper_y_15,upper_x_16,upper_y_16,upper_x_17,upper_y_17,upper_x_18,upper_y_18,upper_x_19,upper_y_19,upper_x_20,upper_y_20,upper_x_21,upper_y_21,lower_x_0,lower_y_0,lower_x_1,lower_y_1,lower_x_2,lower_y_2,lower_x_3,lower_y_3,lower_x_4,lower_y_4,lower_x_5,lower_y_5,lower_x_6,lower_y_6,lower_x_7,lower_y_7,lower_x_8,lower_y_8,lower_x_9,lower_y_9,lower_x_10,lower_y_10,lower_x_11,lower_y_11,lower_x_12,lower_y_12,lower_x_13,lower_y_13,lower_x_14,lower_y_14,lower_x_15,lower_y_15,lower_x_16,lower_y_16,lower_x_17,lower_y_17,lower_x_18,lower_y_18,lower_x_19,lower_y_19,lower_x_20,lower_y_20,lower_x_21,lower_y_21
0,0,0,795.7777,2151.853,824.1995,2126.0137,864.8309,2098.0544,921.3164,2065.782,1006.7606,2036.1797,1091.7334,2055.452,1177.2552,2032.9747,1266.1106,2060.774,1328.7025,2090.1187,1372.5933,2116.1833,1403.1444,2138.5747,1375.7417,2139.1187,1326.8766,2139.3494,1285.0328,2137.8235,1231.1542,2137.116,1167.5566,2140.3188,1095.6241,2144.9678,1027.1942,2141.9773,965.8706,2140.768,912.4127,2145.3108,871.27515,2148.416,824.5097,2150.8228,1375.7417,2139.1187,1328.781,2138.5422,1286.7046,2137.8904,1232.4001,2138.2908,1166.6727,2143.5938,1094.7384,2147.8904,1025.6019,2145.3,964.4153,2146.287,910.93365,2147.765,871.07983,2149.7466,824.5097,2150.8228,795.7777,2151.853,827.95404,2185.907,870.74176,2220.2957,933.9072,2260.333,1012.38696,2284.559,1099.089,2289.3694,1190.9264,2278.9402,1270.4728,2249.4338,1332.6875,2207.9224,1374.6741,2170.7307,1403.1444,2138.5747
1,1,16,794.4254,2152.8657,821.68506,2126.9058,861.55914,2098.4617,918.26825,2065.9014,1004.284,2036.1582,1089.4532,2055.3542,1175.7362,2032.925,1265.9829,2060.8445,1328.9028,2090.488,1373.1261,2117.0322,1404.05,2139.5571,1376.3438,2140.2126,1326.9884,2140.7944,1285.0093,2139.1963,1230.8271,2138.2327,1166.735,2141.2012,1094.0297,2145.7212,1025.5092,2142.9617,964.20184,2142.0393,910.9457,2146.7454,869.9425,2149.8228,823.30975,2151.9316,1376.3438,2140.2126,1328.817,2139.9817,1286.6094,2139.3635,1231.942,2139.7646,1165.7616,2145.227,1093.438,2149.5117,1024.2816,2147.1418,963.2177,2148.2534,909.8491,2149.7124,870.0619,2151.3372,823.30975,2151.9316,794.4254,2152.8657,826.9865,2187.2327,870.1142,2221.6218,933.3824,2261.2905,1011.807,2285.102,1098.3492,2289.8816,1189.9868,2279.3801,1269.6636,2249.9487,1332.4463,2208.709,1374.7191,2171.6677,1404.05,2139.5571
2,2,33,794.3946,2152.8984,821.55786,2126.9666,861.366,2098.4995,918.1457,2065.9333,1004.20337,2036.1655,1089.3623,2055.3562,1175.681,2032.9502,1266.0,2060.9565,1329.1505,2090.6548,1373.5479,2117.2537,1404.7129,2139.7214,1376.8756,2140.3767,1327.1913,2141.04,1285.0447,2139.4275,1230.8263,2138.404,1166.7152,2141.3115,1093.9465,2145.7996,1025.4209,2143.0361,964.1159,2142.123,910.88574,2146.8398,869.9184,2149.9097,823.30023,2151.9724,1376.8756,2140.3767,1328.9756,2140.1265,1286.6324,2139.4844,1231.9407,2139.8752,1165.7408,2145.368,1093.3787,2149.6494,1024.219,2147.287,963.165,2148.4011,909.8158,2149.852,870.0467,2151.4202,823.30023,2151.9724,794.3946,2152.8984,826.9585,2187.3083,870.0965,2221.759,933.371,2261.4402,1011.7963,2285.1914,1098.3333,2289.9812,1189.9578,2279.4673,1269.6514,2250.043,1332.4624,2208.8188,1374.94,2171.7786,1404.7129,2139.7214
3,3,50,794.38934,2152.8813,821.5206,2126.9685,861.30945,2098.5088,918.1313,2065.9702,1004.19904,2036.2001,1089.3541,2055.3735,1175.6809,2032.997,1266.1133,2061.0269,1329.6917,2090.7078,1374.4045,2117.2993,1405.9639,2139.7297,1377.9652,2140.3938,1327.8195,2141.1174,1285.3303,2139.5325,1230.9243,2138.5168,1166.7421,2141.4146,1093.946,2145.8914,1025.4128,2143.1165,964.1017,2142.188,910.8761,2146.8809,869.9177,2149.9238,823.3014,2151.9663,1377.9652,2140.3938,1329.5211,2140.159,1286.8743,2139.5264,1232.0344,2139.9316,1165.7709,2145.4614,1093.3813,2149.747,1024.2192,2147.3713,963.16486,2148.4634,909.8162,2149.89,870.0482,2151.4258,823.3014,2151.9663,794.38934,2152.8813,826.9575,2187.3074,870.09985,2221.7832,933.3846,2261.4915,1011.824,2285.232,1098.3827,2290.0435,1190.0067,2279.5188,1269.7537,2250.09,1332.748,2208.8518,1375.6459,2171.7876,1405.9639,2139.7297
4,4,66,794.36664,2152.8572,821.4608,2126.966,861.24255,2098.5085,918.1106,2065.975,1004.19836,2036.2097,1089.3564,2055.3872,1175.6904,2033.0404,1266.3049,2061.1096,1330.2833,2090.7908,1375.261,2117.3843,1407.1194,2139.773,1379.0195,2140.435,1328.508,2141.1997,1285.6968,2139.6213,1231.0675,2138.594,1166.7877,2141.473,1093.948,2145.9302,1025.4132,2143.1414,964.0932,2142.2004,910.8627,2146.8853,869.9125,2149.923,823.2976,2151.9478,1379.0195,2140.435,1330.1741,2140.1907,1287.2329,2139.5498,1232.2025,2139.9521,1165.8351,2145.4895,1093.3921,2149.7695,1024.2214,2147.3848,963.16504,2148.4692,909.8139,2149.89,870.0456,2151.4224,823.2976,2151.9478,794.36664,2152.8572,826.9494,2187.3032,870.1012,2221.7869,933.4053,2261.505,1011.87036,2285.2378,1098.4437,2290.0576,1190.0763,2279.539,1269.9027,2250.1223,1333.116,2208.885,1376.3864,2171.8115,1407.1194,2139.773
5,5,83,794.4955,2152.8467,821.5182,2126.9656,861.26434,2098.5088,918.1451,2065.9763,1004.2539,2036.2065,1089.4115,2055.3755,1175.7738,2033.0386,1266.5414,2061.1135,1330.7231,2090.7979,1375.7183,2117.3945,1407.5743,2139.775,1379.4897,2140.4387,1328.8342,2141.2258,1285.8997,2139.6711,1231.2013,2138.6582,1166.8926,2141.537,1094.0225,2145.9854,1025.4993,2143.2087,964.1867,2142.2651,910.97766,2146.9326,870.0727,2149.941,823.4649,2151.9458,1379.4897,2140.4387,1330.4994,2140.1973,1287.4489,2139.567,1232.36,2139.9976,1165.9597,2145.576,1093.4973,2149.8606,1024.325,2147.4707,963.29254,2148.535,909.96826,2149.9263,870.21967,2151.4287,823.4649,2151.9458,794.4955,2152.8467,827.16547,2187.302,870.40845,2221.7893,933.72925,2261.5156,1012.1303,2285.2495,1098.6241,2290.088,1190.1716,2279.5635,1269.9858,2250.1409,1333.2606,2208.8916,1376.6826,2171.8123,1407.5743,2139.775
6,6,100,794.4966,2152.855,821.4997,2126.9897,861.22974,2098.5288,918.13763,2065.999,1004.2567,2036.2131,1089.4126,2055.3784,1175.7761,2033.0574,1266.634,2061.1826,1331.0776,2090.8928,1376.2261,2117.533,1408.1973,2139.9028,1380.0306,2140.5654,1329.1753,2141.4124,1286.0767,2139.8628,1231.2704,2138.837,1166.9181,2141.6848,1094.0249,2146.108,1025.501,2143.325,964.1866,2142.3755,910.9782,2147.0256,870.07513,2150.0007,823.4716,2151.9597,1380.0306,2140.5654,1330.7789,2140.3042,1287.5709,2139.6575,1232.4065,2140.0857,1165.9734,2145.6807,1093.4993,2149.9626,1024.3259,2147.556,963.2937,2148.6082,909.9711,2149.989,870.22473,2151.4639,823.4716,2151.9597,794.4966,2152.855,827.1666,2187.3235,870.4148,2221.8333,933.74176,2261.563,1012.15137,2285.2815,1098.652,2290.134,1190.2007,2279.607,1270.0459,2250.1875,1333.4136,2208.9531,1377.0507,2171.8875,1408.1973,2139.9028
7,7,116,793.9162,2153.0227,820.7875,2127.2034,860.52466,2098.6895,917.6037,2066.1033,1003.87103,2036.2324,1089.0682,2055.3796,1175.4899,2033.0687,1266.5652,2061.2441,1331.0839,2091.01,1376.2726,2117.7349,1408.2916,2140.109,1380.0847,2140.7705,1329.1818,2141.6428,1286.0607,2140.035,1231.1858,2138.944,1166.757,2141.7532,1093.7571,2146.1687,1025.1265,2143.402,963.7521,2142.505,910.5391,2147.218,869.63983,2150.216,822.99963,2152.1213,1380.0847,2140.7705,1330.7793,2140.4944,1287.5413,2139.8164,1232.3096,2140.2275,1165.8024,2145.8284,1093.2599,2150.106,1024.0027,2147.686,962.9505,2148.745,909.6138,2150.141,869.8463,2151.6196,822.99963,2152.1213,793.9162,2153.0227,826.64124,2187.5154,869.973,2222.0835,933.37823,2261.8577,1011.8998,2285.5903,1098.521,2290.5005,1190.1102,2279.95,1270.0127,2250.4988,1333.4133,2209.2136,1377.0868,2172.0818,1408.2916,2140.109
8,8,133,792.36566,2153.813,818.72754,2127.9658,858.2393,2099.2551,915.3964,2066.4795,1001.8714,2036.396,1087.059,2055.481,1173.5724,2033.2057,1265.244,2061.5344,1330.2274,2091.458,1375.5107,2118.3948,1407.5123,2140.8264,1379.203,2141.4617,1328.1385,2142.348,1284.7794,2140.639,1229.7006,2139.4258,1165.082,2142.178,1091.8647,2146.5967,1023.17334,2143.8857,961.8586,2143.1018,908.8058,2147.957,868.08093,2151.0234,821.5823,2152.8787,1379.203,2141.4617,1329.5842,2141.1008,1286.0875,2140.3403,1230.6646,2140.7126,1164.0038,2146.3528,1091.3793,2150.6719,1022.12616,2148.274,961.20154,2149.3872,908.02277,2150.84,868.3685,2152.3276,821.5823,2152.8787,792.36566,2153.813,825.02484,2188.2705,868.3146,2222.849,931.6317,2262.5845,1010.1795,2286.2383,1096.8529,2291.149,1188.418,2280.5283,1268.4165,2251.039,1332.0073,2209.7764,1376.0319,2172.6814,1407.5123,2140.8264
9,9,150,788.683,2155.1155,814.7322,2129.35,854.1122,2100.548,911.3499,2067.6335,998.0568,2037.2651,1083.2703,2056.301,1169.9604,2034.1862,1262.2292,2062.9395,1327.7246,2093.1445,1373.1301,2120.365,1405.1224,2142.8792,1376.7261,2143.5386,1325.4551,2144.5112,1281.7826,2142.7646,1226.4866,2141.448,1161.6854,2144.074,1088.1663,2148.4028,1019.3429,2145.676,958.03754,2144.9106,905.09015,2149.7397,864.45276,2152.6904,817.99335,2154.2808,1376.7261,2143.5386,1326.7201,2143.2024,1282.9435,2142.4343,1227.3057,2142.782,1160.4705,2148.399,1087.6862,2152.6511,1018.34094,2150.2043,957.4649,2151.2861,904.38574,2152.6406,864.8128,2153.9346,817.99335,2154.2808,788.683,2155.1155,821.31055,2189.7651,864.5751,2224.523,927.83606,2264.3384,1006.44165,2288.015,1093.2533,2293.0325,1184.856,2282.4314,1264.9984,2252.9807,1328.8688,2211.805,1373.3125,2174.7253,1405.1224,2142.8792
