,frame,timestamp,upper_x_0,upper_y_0,upper_x_1,upper_y_1,upper_x_2,upper_y_2,upper_x_3,upper_y_3,upper_x_4,upper_y_4,upper_x_5,upper_y_5,upper_x_6,upper_y_6,upper_x_7,upper_y_7,upper_x_8,upper_y_8,upper_x_9,upper_y_9,upper_x_10,upper_y_10,upper_x_11,upper_y_11,upper_x_12,upper_y_12,upper_x_13,upper_y_13,upper_x_14,upper_y_14,upper_x_15,upper_y_15,upper_x_16,upper_y_16,upper_x_17,upper_y_17,upper_x_18,upper_y_18,upper_x_19,upper_y_19,upper_x_20,upper_y_20,upper_x_21,upper_y_21,lower_x_0,lower_y_0,lower_x_1,lower_y_1,lower_x_2,lower_y_2,lower_x_3,lower_y_3,lower_x_4,lower_y_4,lower_x_5,lower_y_5,lower_x_6,lower_y_6,lower_x_7,lower_y_7,lower_x_8,lower_y_8,lower_x_9,lower_y_9,lower_x_10,lower_y_10,lower_x_11,lower_y_11,lower_x_12,lower_y_12,lower_x_13,lower_y_13,lower_x_14,lower_y_14,lower_x_15,lower_y_15,lower_x_16,lower_y_16,lower_x_17,lower_y_17,lower_x_18,lower_y_18,lower_x_19,lower_y_19,lower_x_20,lower_y_20,lower_x_21,lower_y_21
10,10,166,805.6067,2172.112,827.3876,2145.983,862.0803,2117.058,913.5875,2084.3809,992.81995,2054.6284,1068.3938,2073.1643,1145.9327,2056.315,1228.4867,2089.0369,1285.2474,2122.66,1322.8663,2152.8152,1348.0753,2178.065,1322.315,2176.4502,1277.2306,2172.8877,1239.5073,2167.6355,1191.6624,2162.6672,1135.0875,2161.5728,1070.5657,2162.6804,1009.7649,2159.1772,955.46985,2158.6665,908.5117,2163.8496,872.5427,2167.7605,831.79193,2170.7593,1322.315,2176.4502,1278.8268,2172.2976,1240.5754,2168.262,1192.1927,2164.7695,1133.6497,2166.4324,1069.7524,2167.797,1008.6114,2164.5566,954.6162,2165.6375,907.6627,2167.6646,872.53595,2169.7483,831.79193,2170.7593,805.6067,2172.112,833.1765,2202.6106,870.5724,2232.4824,925.83746,2267.194,994.89124,2288.387,1071.3535,2294.3235,1152.4465,2287.3816,1223.7804,2264.5557,1280.9625,2232.2068,1320.692,2203.3745,1348.0753,2178.065
11,11,183,803.80646,2172.1174,825.3712,2145.9998,859.73047,2117.0674,910.9092,2084.3875,989.8538,2054.6362,1065.2172,2073.1855,1142.7532,2056.3682,1225.4371,2089.185,1282.3885,2122.8772,1320.0684,2153.09,1345.4052,2178.327,1319.664,2176.662,1274.6017,2173.0913,1236.7927,2167.8076,1188.8274,2162.791,1132.1809,2161.656,1067.597,2162.7341,1007.1048,2159.2031,953.00793,2158.6763,906.235,2163.859,870.457,2167.7732,829.89417,2170.7654,1319.664,2176.662,1276.1387,2172.4197,1237.749,2168.3306,1189.2587,2164.8005,1130.651,2166.4517,1066.742,2167.809,1005.96674,2164.5676,952.224,2165.6514,905.4435,2167.6807,870.42706,2169.7588,829.89417,2170.7654,803.80646,2172.1174,831.3108,2202.616,868.6346,2232.487,923.7541,2267.1985,992.5255,2288.3794,1068.5197,2294.3123,1149.3716,2287.3728,1220.5681,2264.5566,1277.7328,2232.2253,1317.6293,2203.49,1345.4052,2178.327
12,12,200,801.6398,2172.2217,823.16296,2146.1597,857.3873,2117.2363,908.4185,2084.5657,987.1628,2054.7988,1062.3765,2073.3293,1139.724,2056.5479,1222.0613,2089.3972,1278.9207,2123.0933,1316.4949,2153.322,1341.8141,2178.531,1316.1807,2176.8389,1271.2777,2173.2546,1233.5499,2167.9453,1185.7012,2162.902,1129.2235,2161.7495,1064.7876,2162.822,1004.42834,2159.2798,950.4234,2158.751,903.72644,2163.9478,868.0338,2167.8806,827.61865,2170.867,1316.1807,2176.8389,1272.7775,2172.5632,1234.4819,2168.437,1186.1279,2164.8733,1127.7017,2166.5142,1063.9882,2167.8633,1003.3577,2164.6208,949.6991,2165.721,902.97327,2167.7737,868.0066,2169.8613,827.61865,2170.867,801.6398,2172.2217,829.1285,2202.6858,866.4202,2232.5098,921.44293,2267.2058,990.0547,2288.3818,1065.7936,2294.311,1146.2682,2287.3726,1217.1516,2264.5603,1274.0724,2232.2534,1313.9069,2203.5986,1341.8141,2178.531
13,13,216,799.37775,2172.313,820.84296,2146.2937,854.9574,2117.3877,905.88495,2084.7407,984.5623,2054.995,1059.7983,2073.5535,1137.1213,2056.8054,1219.3295,2089.704,1276.1407,2123.3997,1313.6993,2153.6184,1339.0532,2178.7815,1313.4581,2177.0745,1268.558,2173.5044,1230.8177,2168.1938,1183.0015,2163.14,1126.57,2161.9673,1062.1675,2163.0237,1001.86145,2159.4448,947.90765,2158.8843,901.2522,2164.0688,865.6342,2167.9983,825.3185,2170.9666,1313.4581,2177.0745,1270.0234,2172.7786,1231.7427,2168.6309,1183.4338,2165.054,1125.0632,2166.7017,1061.375,2168.0432,1000.7936,2164.7927,947.1841,2165.8857,900.51764,2167.9277,865.6092,2169.99,825.3185,2170.9666,799.37775,2172.313,826.8014,2202.7764,864.02136,2232.582,918.9663,2267.2563,987.5139,2288.4165,1063.1976,2294.3484,1143.6165,2287.4097,1214.4143,2264.6086,1271.2356,2232.3516,1311.0424,2203.7786,1339.0532,2178.7815
14,14,233,796.4539,2172.668,818.0045,2146.6938,852.1395,2117.8171,903.0471,2085.252,981.66455,2055.5894,1056.9595,2074.198,1134.2783,2057.4377,1216.3207,2090.3118,1272.9794,2123.9443,1310.4882,2154.101,1335.847,2179.1921,1310.2833,2177.4539,1265.4626,2173.9019,1227.7538,2168.5925,1179.9644,2163.5408,1123.5754,2162.3699,1059.1995,2163.4336,998.958,2159.8184,944.9856,2159.2163,898.29626,2164.3926,862.67725,2168.346,822.4163,2171.3145,1310.2833,2177.4539,1266.91,2173.1328,1228.6418,2168.9583,1180.3829,2165.357,1122.092,2167.0122,1058.4594,2168.346,997.9289,2165.101,944.27545,2166.206,897.5671,2168.2756,862.65173,2170.342,822.4163,2171.3145,796.4539,2172.668,823.93646,2203.0967,861.22894,2232.8267,916.2449,2267.4092,984.76306,2288.4983,1060.2526,2294.4146,1140.4263,2287.4746,1211.0243,2264.7026,1267.7866,2232.5383,1307.6816,2204.0867,1335.847,2179.1921
15,15,250,793.95374,2173.2021,815.5452,2147.2478,849.6637,2118.3435,900.5855,2085.758,979.32355,2056.047,1054.7114,2074.6626,1132.065,2057.8489,1214.0652,2090.7434,1270.5791,2124.386,1307.8855,2154.5361,1333.1252,2179.5808,1307.626,2177.8499,1262.8945,2174.364,1225.3076,2169.1138,1177.5945,2164.121,1121.2574,2163.0122,1056.9209,2164.1118,996.638,2160.495,942.5869,2159.8464,895.8115,2164.9846,860.1701,2168.9133,819.89307,2171.8494,1307.626,2177.8499,1264.3457,2173.5452,1226.139,2169.3699,1177.9567,2165.7803,1119.7344,2167.4863,1056.1454,2168.855,995.58356,2165.6414,941.85846,2166.7664,895.0852,2168.853,860.1428,2170.9038,819.89307,2171.8494,793.95374,2173.2021,821.5717,2203.6016,858.9631,2233.2583,914.0537,2267.7715,982.5739,2288.8013,1058.039,2294.6902,1138.0851,2287.713,1208.5314,2264.9282,1265.1235,2232.8103,1304.931,2204.4326,1333.1252,2179.5808
16,16,266,791.4836,2174.1145,813.12494,2148.0728,847.3547,2119.0825,898.38916,2086.4453,977.3085,2056.6567,1052.7893,2075.1926,1130.1782,2058.3174,1212.1077,2091.1565,1268.5193,2124.7732,1305.6884,2154.9094,1330.7692,2179.9382,1305.2815,2178.2031,1260.6891,2174.7356,1223.2052,2169.4963,1175.5602,2164.5186,1119.2472,2163.446,1054.9034,2164.5906,994.5793,2161.044,940.4366,2160.4492,893.5495,2165.66,857.80554,2169.6726,817.4666,2172.708,1305.2815,2178.2031,1262.1549,2173.9055,1224.0398,2169.7327,1175.9218,2166.1494,1117.7155,2167.8948,1054.0864,2169.31,993.46985,2166.1946,939.60065,2167.429,892.6905,2169.623,857.7006,2171.7166,817.4666,2172.708,791.4836,2174.1145,819.04614,2204.4802,856.5465,2234.039,911.86334,2268.3838,980.5443,2289.2175,1055.9895,2294.9883,1135.9858,2287.9634,1206.3743,2265.1575,1262.9176,2233.081,1302.6555,2204.7593,1330.7692,2179.9382
17,17,283,789.88916,2175.0833,811.5069,2148.9563,845.7054,2119.8667,896.7021,2087.1506,975.5977,2057.296,1051.0339,2075.813,1128.4137,2058.926,1210.3228,2091.8284,1266.6766,2125.5112,1303.7449,2155.71,1328.7074,2180.7844,1303.2716,2179.0112,1258.7927,2175.4849,1221.3853,2170.206,1173.7699,2165.1897,1117.4806,2164.1077,1053.1904,2165.2488,992.94324,2161.7263,938.8175,2161.1448,891.9149,2166.4033,856.1765,2170.4868,815.8479,2173.6233,1303.2716,2179.0112,1260.2922,2174.642,1222.2383,2170.3894,1174.159,2166.736,1115.9738,2168.4673,1052.3704,2169.894,991.7873,2166.8108,937.9068,2168.1052,890.98114,2170.3865,855.98047,2172.5469,815.8479,2173.6233,789.88916,2175.0833,817.4304,2205.294,854.9413,2234.677,910.2664,2268.8726,978.94305,2289.5955,1054.3275,2295.3198,1134.285,2288.279,1204.6089,2265.499,1261.0431,2233.5503,1300.6715,2205.4275,1328.7074,2180.7844
18,18,300,788.10547,2175.863,809.76434,2149.6345,843.97266,2120.4707,895.0076,2087.7034,974.05133,2057.8306,1049.5919,2076.4036,1127.116,2059.49,1209.0887,2092.478,1265.334,2126.2488,1302.2814,2156.511,1327.0742,2181.6687,1301.6666,2179.879,1257.2488,2176.3264,1219.8766,2171.0686,1172.265,2166.078,1115.9456,2165.0112,1051.6542,2166.1184,991.42944,2162.6025,937.2412,2161.9653,890.25305,2167.1838,854.47125,2171.2593,814.0849,2174.4238,1301.6666,2179.879,1258.7927,2175.4946,1220.7412,2171.2224,1172.6296,2167.5378,1114.3922,2169.2517,1050.7562,2170.65,990.1287,2167.5774,936.1577,2168.8938,889.16,2171.2039,854.14496,2173.3608,814.0849,2174.4238,788.10547,2175.863,815.6449,2206.0544,853.1622,2235.3755,908.5253,2269.5298,977.2262,2290.211,1052.5975,2295.919,1132.5483,2288.8994,1202.9022,2266.1526,1259.4095,2234.2827,1299.0663,2206.2615,1327.0742,2181.6687
19,19,316,786.6406,2176.561,808.2856,2150.2822,842.52026,2121.075,893.59296,2088.2966,972.6741,2058.4404,1048.191,2077.0178,1125.7795,2060.142,1207.8157,2093.2073,1264.0864,2127.0632,1301.0345,2157.4338,1325.7816,2182.7036,1300.3474,2180.8762,1255.9396,2177.2637,1218.5664,2171.95,1170.9513,2166.9023,1114.5789,2165.782,1050.2236,2166.8418,989.96594,2163.3218,935.771,2162.6792,888.8084,2167.893,853.01917,2171.972,812.63947,2175.1313,1300.3474,2180.8762,1257.4891,2176.4724,1219.4504,2172.1702,1171.3071,2168.4233,1113.027,2170.0642,1049.3392,2171.3809,988.6741,2168.3037,934.68463,2169.633,887.6943,2171.954,852.69965,2174.106,812.63947,2175.1313,786.6406,2176.561,814.21704,2206.7246,851.7783,2235.9282,907.151,2269.9402,975.7932,2290.541,1051.061,2296.255,1130.9661,2289.2947,1201.3389,2266.6946,1257.9728,2235.0674,1297.7406,2207.229,1325.7816,2182.7036
20,20,333,785.63293,2177.176,807.24023,2150.809,841.4977,2121.4934,892.65015,2088.6194,971.8777,2058.7012,1047.42,2077.3145,1125.0863,2060.4607,1207.2444,2093.6704,1263.56,2127.681,1300.4814,2158.2031,1325.164,2183.5928,1299.6776,2181.7544,1255.2444,2178.1267,1217.8702,2172.7927,1170.2496,2167.7021,1113.8402,2166.5256,1049.4222,2167.5334,989.1473,2164.0022,934.9393,2163.3462,887.93634,2168.558,852.0834,2172.6309,811.6443,2175.766,1299.6776,2181.7544,1256.8085,2177.3027,1218.7546,2172.9631,1170.5796,2169.1667,1112.2506,2170.7646,1048.4791,2172.0476,987.8207,2168.9797,933.8286,2170.3286,886.7963,2172.66,851.7574,2174.7864,811.6443,2175.766,785.63293,2177.176,813.2049,2207.399,850.8129,2236.6252,906.24005,2270.6008,974.9033,2291.152,1050.1958,2296.8564,1130.2238,2289.9165,1200.6802,2267.3604,1257.3522,2235.8374,1297.1311,2208.083,1325.164,2183.5928
21,21,350,784.8431,2177.4082,806.54755,2151.0605,840.8842,2121.7646,892.12396,2088.9124,971.4269,2059.0015,1047.04,2077.6218,1124.7667,2060.772,1206.9373,2093.9875,1263.2716,2128.0012,1300.1769,2158.528,1324.8267,2183.923,1299.3369,2182.1062,1254.9281,2178.5037,1217.5828,2173.1938,1169.9568,2168.1267,1113.5133,2166.9714,1049.0188,2167.979,988.6384,2164.4302,934.3385,2163.7314,887.2615,2168.8984,851.3507,2172.9287,810.8447,2176.024,1299.3369,2182.1062,1256.4536,2177.6638,1218.3881,2173.3347,1170.2004,2169.534,1111.8411,2171.1309,1048.0093,2172.4116,987.28186,2169.3467,933.2188,2170.6929,886.11774,2173.008,851.0293,2175.0925,810.8447,2176.024,784.8431,2177.4082,812.395,2207.6887,850.0261,2236.9749,905.51495,2270.9866,974.28827,2291.5415,1049.7152,2297.243,1129.8344,2290.2817,1200.3403,2267.6968,1257.026,2236.173,1296.7991,2208.4207,1324.8267,2183.923
