,frame,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0,9.622675634091138e-07,0.00197231606580317,0.0010598726803436875,0.2855302393436432,0.4072103798389435,0.2704087197780609,1.254715425602626e-05,6.669732215414115e-07,1.9221718616790895e-07,0.07295133173465729,0.04095546156167984,0.1667943298816681,0.17415668070316315,0.022482657805085182,0.18423953652381897,0.1766539216041565,0.017942087724804878,0.052935197949409485,0.04953927919268608,0.27794507145881653,0.12047779560089111,0.009397893212735653,0.01212630420923233,8.85477929841727e-05,0.0004356450808700174,0.003570329397916794,3.120238761766814e-05,0.0015727421268820763,0.0004929169081151485,0.0006397030665539205,0.009395429864525795,0.009229645133018494,0.0031308820471167564,0.00015415305097121745,0.00029091149917803705,0.0002668175147846341,0.011424439959228039,0.006249039433896542,0.07291547954082489,0.008650361560285091,0.00117235048674047,0.0003911818203050643,0.006243557669222355,0.0317673422396183,0.0036729539278894663,0.0034589676652103662,0.031902581453323364,0.02192854881286621,0.0009656864567659795,0.0013727940386161208,5.24806364410324e-06,6.065805564503535e-07
1,1,9.82044184638653e-07,0.003205494023859501,0.0015135061694309115,0.20287585258483887,0.3585367500782013,0.23887741565704346,1.2607679309439845e-05,6.675070949313522e-07,1.9045798183014995e-07,0.07036442309617996,0.04273882508277893,0.15655609965324402,0.16604042053222656,0.02035372704267502,0.20547156035900116,0.20066988468170166,0.014539692550897598,0.055306993424892426,0.05136886611580849,0.2749561369419098,0.11981942504644394,0.009065516293048859,0.011515269055962563,8.20755521999672e-05,0.0004127799766138196,0.0033592828549444675,2.660294558154419e-05,0.0015563657507300377,0.00046670189476571977,0.0007121834205463529,0.011461750604212284,0.010251538828015327,0.002770225051790476,9.712661267258227e-05,0.00026766571681946516,0.0002540054847486317,0.012447009794414043,0.005616336595267057,0.07048705220222473,0.013921767473220825,0.001271464629098773,0.00037184939719736576,0.007888744585216045,0.033561576157808304,0.004229735117405653,0.0034985241945832968,0.04817504435777664,0.01942010596394539,0.0012848158366978168,0.0017786250682547688,5.116773081681458e-06,5.870300014976237e-07
2,2,1.008273670777271e-06,0.004006586503237486,0.0017939412500709295,0.17108070850372314,0.3375096917152405,0.22815632820129395,1.2556048204714898e-05,6.626796107411792e-07,1.9103735837688873e-07,0.06984149664640427,0.04367890581488609,0.15378358960151672,0.16437877714633942,0.01872800476849079,0.2198602706193924,0.21682225167751312,0.01298879086971283,0.05566941946744919,0.05149867758154869,0.2752453088760376,0.12106767296791077,0.00892239436507225,0.011201959103345871,7.987079879967496e-05,0.0004056994221173227,0.003306879196316004,2.5997116608778015e-05,0.001552486326545477,0.00045528225018642843,0.0007371641113422811,0.01221961434930563,0.01064604613929987,0.0027059682179242373,8.551554492441937e-05,0.0002609508519526571,0.0002494407817721367,0.012709435075521469,0.005506797693669796,0.07018151879310608,0.015913065522909164,0.0013132974272593856,0.00037297391099855304,0.008430169895291328,0.03452208638191223,0.004246126860380173,0.003423076355829835,0.05278830975294113,0.018592413514852524,0.0013363201869651675,0.001857273862697184,5.08180346514564e-06,5.945385623817856e-07
3,3,1.0504330703042797e-06,0.004694219678640366,0.0020432197488844395,0.14762361347675323,0.3243696391582489,0.22312213480472565,1.2196339412184898e-05,6.597203991987044e-07,1.943902674383935e-07,0.06851255893707275,0.04377121478319168,0.14697211980819702,0.15873897075653076,0.016799194738268852,0.24153347313404083,0.242319256067276,0.010773427784442902,0.05712919682264328,0.052864011377096176,0.27447107434272766,0.12288879603147507,0.008903385140001774,0.01104365848004818,7.780141459079459e-05,0.0003874157555401325,0.0031971116550266743,2.616146048239898e-05,0.0015210624551400542,0.0004520257352851331,0.0007549149449914694,0.01289238128811121,0.011204388923943043,0.0027289881836622953,8.376935147680342e-05,0.0002534449740778655,0.00024357215443160385,0.012895229272544384,0.00561483483761549,0.07089296728372574,0.016282178461551666,0.0013293512165546417,0.00036701708449982107,0.008793867193162441,0.03562461584806442,0.0042589581571519375,0.0034585960675030947,0.05370379239320755,0.01905030570924282,0.0013122184900566936,0.0018587063532322645,5.1711081141547766e-06,5.996794811835571e-07
4,4,1.077567048923811e-06,0.005429363809525967,0.002329713199287653,0.13289323449134827,0.3106626570224762,0.21410022675991058,1.2105731912015472e-05,6.665751470791292e-07,1.986915663110267e-07,0.0686737447977066,0.04445379972457886,0.14458397030830383,0.1571938544511795,0.01486549898982048,0.26242783665657043,0.2650366723537445,0.009542889893054962,0.057233430445194244,0.052944108843803406,0.27469003200531006,0.1237090453505516,0.00868312455713749,0.01092375349253416,7.691171776968986e-05,0.0003786908055189997,0.0031301616691052914,2.5759803975233808e-05,0.001496404642239213,0.00044742264435626566,0.0007734461105428636,0.01354688499122858,0.011600823141634464,0.00270881992764771,7.48896345612593e-05,0.0002487482561264187,0.00024211808340623975,0.013355071656405926,0.0055618914775550365,0.07096782326698303,0.018658889457583427,0.0013436096487566829,0.00036397058283910155,0.009245543740689754,0.036416079849004745,0.004286372102797031,0.003412180347368121,0.057057786732912064,0.018935199826955795,0.0013525377726182342,0.0019229981116950512,5.270564088277752e-06,6.135095418358105e-07
5,5,1.1229195706619066e-06,0.0058011082001030445,0.0024372264742851257,0.12633192539215088,0.307677686214447,0.21098355948925018,1.2242543562024366e-05,7.225117428788508e-07,2.0926414379118796e-07,0.06780223548412323,0.04416516423225403,0.140924334526062,0.15414728224277496,0.013194448314607143,0.28710901737213135,0.29160305857658386,0.008304495364427567,0.05816618725657463,0.05395699664950371,0.2747723162174225,0.12361873686313629,0.008547889068722725,0.011254023760557175,7.705582538619637e-05,0.000340000435244292,0.0030273429583758116,2.6506259018788114e-05,0.0014752896968275309,0.0004397724405862391,0.0007981710368767381,0.015304774045944214,0.012829761020839214,0.0027121698949486017,6.060897067072801e-05,0.00024217511236201972,0.00023996013624127954,0.01396275870501995,0.005386902950704098,0.07256888598203659,0.024328209459781647,0.001339089241810143,0.00035291939275339246,0.009920899756252766,0.03761425241827965,0.004714431706815958,0.003610137151554227,0.06894086301326752,0.02048550359904766,0.001517286873422563,0.002150345593690872,5.5790578699088655e-06,6.299000006038113e-07
6,6,1.1288336736470228e-06,0.006239978596568108,0.0026608698535710573,0.11776226758956909,0.3023739159107208,0.20514492690563202,1.2168804460088722e-05,7.516874802604434e-07,2.1726809507072176e-07,0.06577963382005692,0.04362592473626137,0.13701900839805603,0.15050630271434784,0.012419795617461205,0.3014410436153412,0.30724024772644043,0.007589525543153286,0.0593583844602108,0.05518804490566254,0.27149999141693115,0.12317139655351639,0.008579540997743607,0.011562110856175423,7.582612306578085e-05,0.0003326204896438867,0.0029231079388409853,2.5904040739987977e-05,0.0014294949360191822,0.00042850730824284256,0.0008417025092057884,0.01644931733608246,0.013432987034320831,0.0026658489368855953,5.149551361682825e-05,0.0002382364618824795,0.00023731376859359443,0.0141991525888443,0.005316806025803089,0.07294366508722305,0.029696447774767876,0.0013632014160975814,0.00034896755823865533,0.010689723305404186,0.03888591751456261,0.004871936980634928,0.0036368125583976507,0.08042249083518982,0.020913390442728996,0.0016432332340627909,0.0023395013995468616,5.74308887735242e-06,6.294226295722183e-07
7,7,1.1460165296739433e-06,0.006360375322401524,0.0027488020714372396,0.11621048301458359,0.2978629469871521,0.20209859311580658,1.2133264135627542e-05,7.778803023938963e-07,2.2204363858691067e-07,0.06371240317821503,0.04374132677912712,0.13320057094097137,0.14687316119670868,0.012359156273305416,0.3032251298427582,0.3093375861644745,0.007469981908798218,0.060951005667448044,0.05655413866043091,0.2687768042087555,0.1219099909067154,0.008779112249612808,0.011568374931812286,7.55483124521561e-05,0.00032166833989322186,0.002865069778636098,2.616128585941624e-05,0.0013982801465317607,0.00041731016244739294,0.0009127471712417901,0.017514806240797043,0.014114283956587315,0.0026152359787374735,4.556551357381977e-05,0.00023882708046585321,0.00023367929679807276,0.014079668559134007,0.005502081010490656,0.07095025479793549,0.03427222743630409,0.0013976675691083074,0.0003467626520432532,0.01125973928719759,0.040233541280031204,0.004990848712623119,0.0038201697170734406,0.08657100796699524,0.02204340696334839,0.001696587074548006,0.002482132986187935,5.826456344948383e-06,6.289677685344941e-07
8,8,1.1405768418626394e-06,0.006475089583545923,0.0027866342570632696,0.11569996178150177,0.2941519320011139,0.20115773379802704,1.195633831230225e-05,7.821054168744013e-07,2.1819440121362277e-07,0.06154634431004524,0.04369153454899788,0.13087940216064453,0.1446087509393692,0.012252713553607464,0.3048236668109894,0.3110184073448181,0.007416937500238419,0.062030449509620667,0.05745373293757439,0.26029402017593384,0.1209414079785347,0.009000700898468494,0.01159619353711605,7.486364484066144e-05,0.00031679647509008646,0.002817214699462056,2.6074158085975796e-05,0.0013792343670502305,0.00039350430597551167,0.0010276257526129484,0.01779877580702305,0.014067666605114937,0.0025603522080928087,4.331524178269319e-05,0.00024007134197745472,0.0002240633766632527,0.013586699031293392,0.005928691476583481,0.06793101131916046,0.03652845695614815,0.0014250882668420672,0.0003451327502261847,0.011673360131680965,0.041309796273708344,0.005062116775661707,0.004089186433702707,0.08833824098110199,0.022293783724308014,0.0016936499159783125,0.002609960502013564,5.68439236303675e-06,6.151177558422205e-07
9,9,1.1506895134516526e-06,0.006407040636986494,0.002738065319135785,0.11912966519594193,0.29215654730796814,0.2008485049009323,1.195418371935375e-05,7.948195843709982e-07,2.151086562207638e-07,0.060982365161180496,0.04484499990940094,0.13117901980876923,0.14549340307712555,0.012218165211379528,0.30512410402297974,0.3112155795097351,0.007487731985747814,0.062056899070739746,0.057073645293712616,0.25597304105758667,0.12038484215736389,0.009099316783249378,0.011283695697784424,7.569412991870195e-05,0.00030204502400010824,0.0027186337392777205,2.614021286717616e-05,0.0013415829744189978,0.00038630011840723455,0.0011516330996528268,0.01749255880713463,0.01362320501357317,0.0025289589539170265,4.179340248811059e-05,0.00023936510842759162,0.0002182062598876655,0.013468533754348755,0.006337528117001057,0.065497025847435,0.03890087828040123,0.0014183289604261518,0.00032764338538981974,0.012163969688117504,0.043150778859853745,0.005638560745865107,0.004752918612211943,0.08980213105678558,0.023139160126447678,0.0017756965244188905,0.0028554259333759546,5.653830157825723e-06,6.064863100618823e-07
