Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:37:56:28.114,61,0.0116414055,0.0000000000,0.0000000000,0.0001375337,0.0000000000,0.0027661521,0.0000000000,0.0116641121,0.0000000000,0.0164616797,0.0000000000,0.0000000000,0.0027662518,0.0000000000,0.0015631401,0.0071096742,0.0000000000,0.0065239696,0.0074628582,0.0041145310,0.0032688656,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0033850740,0.0040133954,0.0062343823,0.0063642650,0.0078507522,0.0026273599,0.0063331001,0.0015754574,0.0041705756,0.0046777483,0.0053704581,0.0048256214,0.0014994699,0.0017321521,0.0000000000,0.0000000000,0.0134349782,0.0689187646,0.0689124316,0.0000000000,0.0053390064,0.0066337986,0.0067728725,0.0078059491,0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0091976859,-0.0139031112,-0.0000497173,-0.0094723199,-0.0138978213,-0.0009641332
13:37:56:29.114,61,0.0100341626,0.0000000000,0.0000000000,0.0005952495,0.0000000000,0.0025150592,0.0000000000,0.0100457789,0.0000000000,0.0169787761,0.0000000000,0.0000000000,0.0025151777,0.0000000000,0.0015181247,0.0071049859,0.0000000000,0.0064259097,0.0072989860,0.0038861146,0.0031371310,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0032549347,0.0038565048,0.0060117193,0.0060846764,0.0075924462,0.0025832637,0.0059305993,0.0013110926,0.0038720483,0.0043744859,0.0051516793,0.0046254620,0.0014031630,0.0016316709,0.0000000000,0.0000000000,0.0130906347,0.0689851642,0.0689797029,0.0000000000,0.0051711700,0.0064582685,0.0063785845,0.0073892963,0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0094881393,-0.0145814568,-0.0000318093,-0.0097508701,-0.0145762265,-0.0009883664
13:37:56:30.115,61,0.0089323390,0.0000000000,0.0000000000,0.0004614069,0.0000000000,0.0022795647,0.0000000000,0.0089392224,0.0000000000,0.0168831740,0.0000000000,0.0000000000,0.0022797040,0.0000000000,0.0014979256,0.0071304948,0.0000000000,0.0063348962,0.0071576447,0.0037069242,0.0030563544,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0031319850,0.0037113016,0.0058386391,0.0058720540,0.0073863300,0.0025291215,0.0056958282,0.0011624340,0.0036255694,0.0041202493,0.0049758297,0.0044618673,0.0013370818,0.0015619081,0.0000000000,0.0000000000,0.0127344579,0.0686814710,0.0686771050,0.0000000000,0.0050411201,0.0063257618,0.0060503320,0.0070325783,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0094353519,-0.0146226808,-0.0000245771,-0.0096694203,-0.0146174803,-0.0009812521
13:37:56:31.116,61,0.0080458736,0.0000000000,0.0000000000,0.0012133117,0.0000000000,0.0021301697,0.0000000000,0.0080501549,0.0000000000,0.0176676512,0.0000000000,0.0000000000,0.0021303296,0.0000000000,0.0014540104,0.0070424881,0.0000000000,0.0062425067,0.0070274463,0.0035690311,0.0030682054,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0030026578,0.0035642895,0.0056225089,0.0056592654,0.0071680392,0.0024485230,0.0056155934,0.0011375527,0.0034285462,0.0039108270,0.0048026186,0.0043086167,0.0013019721,0.0015241122,0.0000000000,0.0000000000,0.0123858806,0.0666999519,0.0666964874,0.0000000000,0.0049519269,0.0062315925,0.0057897102,0.0067285681,0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0098733269,-0.0151670873,-0.0000276649,-0.0101270331,-0.0151618868,-0.0010207332
13:37:56:32.116,61,0.0072983243,0.0000000000,0.0000000000,0.0022861271,0.0000000000,0.0019838063,0.0000000000,0.0073011499,0.0000000000,0.0188712347,0.0000000000,0.0000000000,0.0019839869,0.0000000000,0.0014183522,0.0070918314,0.0000000000,0.0061653978,0.0069152978,0.0034572945,0.0030940003,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028937547,0.0034429939,0.0055036279,0.0055441344,0.0069783814,0.0023560922,0.0057139327,0.0012356158,0.0032535465,0.0037225287,0.0046438775,0.0041720248,0.0012856483,0.0015073542,0.0000000000,0.0000000000,0.0121190399,0.0657827705,0.0657799244,0.0000000000,0.0048860512,0.0061788489,0.0055661877,0.0064663701,0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0105400272,-0.0150515586,-0.0000928561,-0.0107799200,-0.0150463730,-0.0010774434
13:37:56:33.116,61,0.0066468911,0.0000000000,0.0000000000,0.0020881637,0.0000000000,0.0018145809,0.0000000000,0.0066488786,0.0000000000,0.0186760426,0.0000000000,0.0000000000,0.0018147842,0.0000000000,0.0013553691,0.0071916431,0.0000000000,0.0060225776,0.0067417980,0.0033163941,0.0030284009,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0027721068,0.0033041353,0.0053573083,0.0053690309,0.0067261104,0.0022309865,0.0057039461,0.0012847990,0.0030476712,0.0035043706,0.0044637192,0.0040102829,0.0012552948,0.0014729804,0.0000000000,0.0000000000,0.0118040880,0.0654176995,0.0654160380,0.0000000000,0.0047640996,0.0060537583,0.0052938936,0.0061548329,0.0000000003,0.0000000000,0.0000000000,0.0000000000,-0.0104316361,-0.0150218308,-0.0000853953,-0.0106594404,-0.0150166526,-0.0010670323
13:37:56:34.117,61,0.0060669314,0.0000000000,0.0000000000,0.0014049205,0.0000000000,0.0016678579,0.0006096115,0.0060684159,0.0000000000,0.0179428495,0.0000000000,0.0000000000,0.0016680725,0.0005861872,0.0012988826,0.0071982536,0.0000000000,0.0059092934,0.0065955925,0.0031546622,0.0028908649,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0026759333,0.0031905896,0.0052302722,0.0052105440,0.0064974744,0.0021536478,0.0054542148,0.0011546776,0.0028134009,0.0032635583,0.0043115169,0.0038701894,0.0012009415,0.0014130472,0.0000000000,0.0000000000,0.0115330257,0.0654741824,0.0654731691,0.0000000000,0.0046311039,0.0059137209,0.0049923887,0.0058235996,0.0000000003,0.0000000000,0.0000000000,0.0000000000,-0.0100278594,-0.0155210495,-0.0000181966,-0.0102436701,-0.0155159533,-0.0010305303
13:37:56:35.118,61,0.0055436585,0.0000000000,0.0000000000,0.0007320791,0.0000000000,0.0015191780,0.0023835041,0.0055448241,0.0000000000,0.0172201823,0.0000000000,0.0000000000,0.0015193983,0.0023591996,0.0012431589,0.0072517982,0.0000000000,0.0058146752,0.0064731338,0.0030141780,0.0027835886,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0025870046,0.0030846973,0.0051166848,0.0050538555,0.0062702280,0.0020872385,0.0051548127,0.0009810532,0.0026024957,0.0030510160,0.0041727447,0.0037411912,0.0011429760,0.0013532067,0.0000000000,0.0000000000,0.0112827886,0.0656693056,0.0656684190,0.0000000000,0.0045018946,0.0057801516,0.0047258674,0.0055501191,0.0000000002,0.0000000000,0.0000000000,0.0000000000,-0.0096270181,-0.0154955387,0.0000147023,-0.0098341741,-0.0154904127,-0.0009952203
13:37:56:36.117,61,0.0050676903,0.0000000000,0.0000000000,0.0006543071,0.0000000000,0.0014159646,0.0045188949,0.0050686393,0.0000000000,0.0171616040,0.0000000000,0.0000000000,0.0014161943,0.0044895760,0.0012314913,0.0072455662,0.0000000000,0.0057870983,0.0064310073,0.0029342482,0.0027707596,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0025245268,0.0030055572,0.0051135025,0.0050319443,0.0061224815,0.0020526832,0.0049653547,0.0008545395,0.0024453106,0.0028872269,0.0040879068,0.0036633301,0.0011062869,0.0013112159,0.0000000000,0.0000000000,0.0111274943,0.0657993406,0.0657981411,0.0000000000,0.0044405777,0.0057207928,0.0045645121,0.0053745261,0.0000000003,0.0000000000,0.0000000000,0.0000000000,-0.0095924921,-0.0151241198,-0.0000061225,-0.0097868284,-0.0151189938,-0.0009912843
13:37:56:37.118,61,0.0046326523,0.0000000000,0.0000000000,0.0018607866,0.0000000000,0.0013040113,0.0087368125,0.0046334430,0.0000000000,0.0185183287,0.0000000000,0.0000000000,0.0013042392,0.0087070009,0.0012001812,0.0071857078,0.0000000000,0.0056933323,0.0063186660,0.0028305629,0.0026964990,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0024605342,0.0029286707,0.0050543738,0.0049732858,0.0059686732,0.0019830759,0.0049246405,0.0008692138,0.0023048879,0.0027412616,0.0039839619,0.0035714868,0.0010850965,0.0012873024,0.0000000000,0.0000000000,0.0109065762,0.0656052679,0.0656038895,0.0000000000,0.0043717409,0.0056516370,0.0043911650,0.0051816739,0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0103405006,-0.0143651068,-0.0001200801,-0.0105209984,-0.0143599808,-0.0010557706
