,frame,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0,1.0527749054745072e-06,0.003503246698528528,0.001565396087244153,0.15734493732452393,0.2507651150226593,0.19925931096076965,9.730621059134137e-06,3.3229764540010365e-07,2.0054672233982274e-07,0.06071179360151291,0.04060063883662224,0.1729644387960434,0.17893363535404205,0.020231062546372414,0.2906583845615387,0.30464425683021545,0.005661237519234419,0.05387687310576439,0.043511051684617996,0.2594175934791565,0.15442322194576263,0.012723558582365513,0.010847777128219604,0.00010294443200109527,0.00040180626092478633,0.002000366570428014,1.5436988178407773e-05,0.0009671080042608082,0.0013652067864313722,0.0009230456198565662,0.010012706741690636,0.013811467215418816,0.0011459366651251912,0.003968656994402409,0.00024650112027302384,0.00018629487021826208,0.01889660395681858,0.027880625799298286,0.01496540755033493,0.00012990924005862325,0.00213130796328187,0.0004992199246771634,0.013302364386618137,0.0192763302475214,0.006339509971439838,0.007996916770935059,0.0207211934030056,0.06833840906620026,0.0009860069258138537,0.0013004286447539926,3.433413667153218e-06,5.157855298421055e-07
1,1,1.4856570942356484e-06,0.005185997113585472,0.0026289585512131453,0.12124703079462051,0.2082335501909256,0.15345434844493866,8.879522283677943e-06,3.4941498938678706e-07,2.4786851327007753e-07,0.057264916598796844,0.04549694433808327,0.20754903554916382,0.20652106404304504,0.01830296777188778,0.29367685317993164,0.3126192092895508,0.005570027977228165,0.04410929977893829,0.03508269414305687,0.24184568226337433,0.1491561383008957,0.013219734653830528,0.00963826198130846,8.384671673411503e-05,0.00041580991819500923,0.0022025923244655132,1.694806087471079e-05,0.0011781343491747975,0.0015041722217574716,0.0008339685155078769,0.010883040726184845,0.01702425442636013,0.0010250024497509003,0.00472119590267539,0.00016578852955717593,0.00013480907364282757,0.021909968927502632,0.031370073556900024,0.013100014999508858,0.00011290283873677254,0.0029776704031974077,0.0006389426998794079,0.02217966318130493,0.025370266288518906,0.005185960326343775,0.006829783786088228,0.015998700633645058,0.09237894415855408,0.0009648054838180542,0.0012204564409330487,3.2125501547852764e-06,6.302365136434673e-07
2,2,1.829257939789386e-06,0.005478434730321169,0.002951911184936762,0.11271419376134872,0.20788326859474182,0.14649289846420288,8.843469913699664e-06,3.619727806380979e-07,2.9248471378195973e-07,0.055977482348680496,0.044631920754909515,0.23118923604488373,0.22430476546287537,0.01824098639190197,0.28190961480140686,0.30156922340393066,0.006031795870512724,0.038941651582717896,0.031217869371175766,0.23784130811691284,0.1497408151626587,0.013383300043642521,0.009863161481916904,7.389583333861083e-05,0.00043670719605870545,0.002697261516004801,1.8432727301842533e-05,0.0015506572090089321,0.0019010811811313033,0.0007505270768888295,0.010699414648115635,0.018913155421614647,0.0008664134657010436,0.005136652383953333,0.00013766196207143366,0.00012185882951598614,0.025622518733143806,0.03131309524178505,0.010830491781234741,0.00010277210822096094,0.004119114018976688,0.000864992558490485,0.02874595858156681,0.026868361979722977,0.004076480865478516,0.005181728396564722,0.011872740462422371,0.1000714898109436,0.0009223511442542076,0.0010773609392344952,2.8837691843364155e-06,7.321859811781906e-07
3,3,2.074952362818294e-06,0.005788865964859724,0.0032986619044095278,0.10944036394357681,0.20252852141857147,0.14042657613754272,8.666933354106732e-06,3.758447633117612e-07,3.2150498441296804e-07,0.05729106441140175,0.044151078909635544,0.2349981814622879,0.2270837426185608,0.017985770478844643,0.27898117899894714,0.29904046654701233,0.006091225426644087,0.03768584132194519,0.03051111102104187,0.2365160584449768,0.15092632174491882,0.013146127574145794,0.00980409886687994,6.919766747159883e-05,0.0004622095148079097,0.0029020539950579405,1.843353675212711e-05,0.0016703963046893477,0.0021627219393849373,0.0006409462075680494,0.012284424155950546,0.023471416905522346,0.0008141780854202807,0.005774265620857477,0.00012693683675024658,0.00011818970961030573,0.026773491874337196,0.028623348101973534,0.010545722208917141,8.937056554714218e-05,0.0048635550774633884,0.000978043070062995,0.03362905606627464,0.029247840866446495,0.003173153381794691,0.0038158679381012917,0.010218942537903786,0.10329374670982361,0.0009599330951459706,0.0010603498667478561,2.9117215945007047e-06,8.01704572950257e-07
4,4,2.163353201467544e-06,0.006119627971202135,0.0036816911306232214,0.10509711503982544,0.19612577557563782,0.13538804650306702,8.453450391243678e-06,3.66715283917074e-07,3.369615910742141e-07,0.05795452371239662,0.04410721734166145,0.23612870275974274,0.2274310290813446,0.017302436754107475,0.2821490168571472,0.30529555678367615,0.00586314219981432,0.0370943583548069,0.03022620640695095,0.2360626757144928,0.15110836923122406,0.013114807195961475,0.009621776640415192,6.576572195626795e-05,0.00047727959463372827,0.003123943693935871,1.8899625501944683e-05,0.0017830124124884605,0.002300891326740384,0.0006292183534242213,0.011648985557258129,0.023438965901732445,0.0007600536337122321,0.006202074233442545,0.000123516540043056,0.00011633227404672652,0.026857243850827217,0.02922610566020012,0.009923771023750305,8.244384662248194e-05,0.0054359459318220615,0.0011182730086147785,0.03550620749592781,0.028913604095578194,0.0026735858991742134,0.0032510319724678993,0.008550063706934452,0.10620658844709396,0.0008966531022451818,0.0009736389038152993,2.8283534447837155e-06,8.253560395132808e-07
5,5,2.151725766452728e-06,0.006670301780104637,0.004140431527048349,0.1004193052649498,0.1855037808418274,0.13000822067260742,8.320830602315255e-06,3.50302826745974e-07,3.4155684147663123e-07,0.0600118413567543,0.044502582401037216,0.24195466935634613,0.23150338232517242,0.017152205109596252,0.2802184522151947,0.30355581641197205,0.0059556723572313786,0.03582107648253441,0.029392540454864502,0.23393678665161133,0.15068522095680237,0.012761962600052357,0.00937214121222496,6.540192407555878e-05,0.0004910087445750833,0.0031281716655939817,1.8822553101927042e-05,0.0017658970318734646,0.0023530267644673586,0.0006047203787602484,0.010662305168807507,0.021865230053663254,0.0007752273231744766,0.006840096320956945,0.00012482797319535166,0.00011883182014571503,0.026618333533406258,0.029341068118810654,0.010058602318167686,7.493849989259616e-05,0.0053710960783064365,0.0011337142204865813,0.034069839864969254,0.028780236840248108,0.0025470464024692774,0.003108965465798974,0.007773339282721281,0.10349281132221222,0.0008654933772049844,0.0009328240412287414,2.814772869896842e-06,8.344887874045526e-07
6,6,2.0941856746503618e-06,0.0069943992421031,0.004629533272236586,0.09650838375091553,0.18103475868701935,0.12322403490543365,8.065104339038953e-06,3.3467401294728916e-07,3.48539032302142e-07,0.0614519864320755,0.044333018362522125,0.24593284726142883,0.23387323319911957,0.01670762524008751,0.28407683968544006,0.30835026502609253,0.0057711233384907246,0.03468728065490723,0.028815656900405884,0.22716188430786133,0.1504204422235489,0.012453746050596237,0.009234276600182056,6.464304169639945e-05,0.0005040824180468917,0.00316846021451056,1.8492679373594e-05,0.0017485753633081913,0.0023319863248616457,0.0006038242136128247,0.010080628097057343,0.020912032574415207,0.0007623593555763364,0.0075673870742321014,0.00012715623597614467,0.00012191740097478032,0.025946801528334618,0.030359048396348953,0.00990863237529993,6.660362123511732e-05,0.005617340561002493,0.0011817810591310263,0.03380386903882027,0.028088673949241638,0.0023362368810921907,0.00290318694896996,0.007119800895452499,0.10231684893369675,0.0008211823296733201,0.0008921258267946541,2.7299543035042007e-06,8.207806558857556e-07
7,7,2.0605355075531406e-06,0.007143634837120771,0.004937289748340845,0.09404689818620682,0.18049399554729462,0.1199386790394783,7.991535312612541e-06,3.285014713583223e-07,3.55420468167722e-07,0.060741305351257324,0.043008364737033844,0.25234711170196533,0.23846367001533508,0.016910051926970482,0.2808161973953247,0.3042614161968231,0.005841716658324003,0.033500589430332184,0.02780209295451641,0.22344794869422913,0.14783622324466705,0.012583579868078232,0.009408681653439999,6.433033559005708e-05,0.0005167878116481006,0.0032183618750423193,1.8157139493268915e-05,0.001750050112605095,0.002265852177515626,0.0005986756295897067,0.010115720331668854,0.020931769162416458,0.0007588263251818717,0.007986331358551979,0.00012894759129267186,0.00012455297110136598,0.025900619104504585,0.031123442575335503,0.009750127792358398,6.23235828243196e-05,0.005784282460808754,0.0012170166010037065,0.03357180580496788,0.027535349130630493,0.0022176087368279696,0.00276571954600513,0.007009780500084162,0.10104841738939285,0.0007920555071905255,0.0008630697848275304,2.6734833227237687e-06,8.209724455809919e-07
8,8,2.074903022730723e-06,0.007314159534871578,0.005223182961344719,0.09142260998487473,0.180563822388649,0.11791078001260757,8.009947123355232e-06,3.282355862666009e-07,3.628465208294074e-07,0.05960969626903534,0.04214821755886078,0.2549893260002136,0.24040909111499786,0.0169069841504097,0.27872514724731445,0.3019416332244873,0.005902386736124754,0.03296618536114693,0.027309365570545197,0.22285178303718567,0.14682839810848236,0.012824751436710358,0.009510067291557789,6.433058297261596e-05,0.0005295425653457642,0.0032515034545212984,1.7710961401462555e-05,0.001753054792061448,0.00219899439252913,0.0005946921301074326,0.010267982259392738,0.021237444132566452,0.0007664717268198729,0.008410435169935226,0.00013072315778117627,0.00012632235302589834,0.025798378512263298,0.03199119493365288,0.009702647104859352,5.875789429410361e-05,0.00593247264623642,0.001230384106747806,0.0337071418762207,0.02757471799850464,0.0021476203110069036,0.0026956095825880766,0.006986048072576523,0.10240714251995087,0.0007837575976736844,0.0008587859920226038,2.641807441250421e-06,8.306474228447769e-07
9,9,2.079502564811264e-06,0.007418278604745865,0.005375481676310301,0.09015559405088425,0.18152795732021332,0.11803621798753738,7.974877007654868e-06,3.2628994972583314e-07,3.691366998737067e-07,0.0581810362637043,0.040907930582761765,0.2571603059768677,0.24201832711696625,0.016802575439214706,0.27876347303390503,0.30208995938301086,0.005876033566892147,0.032465480268001556,0.026973454281687737,0.2188187539577484,0.1457238346338272,0.013091947883367538,0.009737322106957436,6.357824895530939e-05,0.0005378143396228552,0.0032739390153437853,1.7493612176622264e-05,0.0017559160478413105,0.00217013549990952,0.0005903862183913589,0.01013950165361166,0.021055400371551514,0.0007757421117275953,0.008963179774582386,0.0001314508990617469,0.0001277070550713688,0.025407491251826286,0.032417263835668564,0.009893914684653282,5.5284570407820866e-05,0.006075736600905657,0.001235081464983523,0.03393477201461792,0.02795088104903698,0.0020610580686479807,0.0026110319886356592,0.006754716858267784,0.10193872451782227,0.0007766985218040645,0.0008594547980464995,2.607267333587515e-06,8.305365213345794e-07
