,frame,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0,2.3059033082972746e-06,0.002389572560787201,0.0011528668692335486,0.2085365504026413,0.26780909299850464,0.20670956373214722,0.0001750740484567359,1.1285882237643818e-06,9.064019081961305e-07,0.09821949154138565,0.032464560121297836,0.35086604952812195,0.34204360842704773,0.0622633621096611,0.08029842376708984,0.06567079573869705,0.04675523191690445,0.0225442536175251,0.017882531508803368,0.254935085773468,0.12269742786884308,0.008445611223578453,0.012482325546443462,0.0006536199362017214,0.0029972561169415712,0.3979339003562927,0.0005591659573838115,0.008988927118480206,0.025242740288376808,0.006413433700799942,0.00041775795398280025,0.0007925526588223875,0.012828536331653595,0.0023261085152626038,0.02289973571896553,0.02976711466908455,0.04231037572026253,0.08271995931863785,0.002391121117398143,8.771043212618679e-05,0.0037602942902594805,0.005249840207397938,0.0014019468799233437,0.019783295691013336,0.0488327331840992,0.0861927717924118,0.0033164075575768948,0.07222103327512741,0.020976513624191284,0.024066707119345665,1.9041907535211067e-06,3.18340903504577e-06
1,1,1.967925072676735e-06,0.0031518000178039074,0.001387410913594067,0.17826297879219055,0.23556634783744812,0.18765802681446075,0.00015691935550421476,8.451165740552824e-07,7.747272547931061e-07,0.09531369805335999,0.03708228841423988,0.3283533751964569,0.3249598443508148,0.05971834063529968,0.08458231389522552,0.07170744985342026,0.040953896939754486,0.024331485852599144,0.01900273747742176,0.23521040380001068,0.11499729752540588,0.008590368553996086,0.010636657476425171,0.0006476781563833356,0.0032025864347815514,0.3907613158226013,0.0004651064518839121,0.008745498955249786,0.02420390583574772,0.004792528226971626,0.0003159763291478157,0.0006089716916903853,0.014519980177283287,0.002530887722969055,0.022944068536162376,0.03207806125283241,0.0367419570684433,0.05900397524237633,0.002790271071717143,7.987643766682595e-05,0.0029916411731392145,0.005505327135324478,0.0010149431182071567,0.018750477582216263,0.04197193682193756,0.06944454461336136,0.0027836731169372797,0.056417323648929596,0.024470718577504158,0.026959670707583427,1.979240551008843e-06,2.740364607234369e-06
2,2,1.9431554392213e-06,0.003200746839866042,0.001429556985385716,0.17252205312252045,0.23490799963474274,0.18696346879005432,0.00015342833648901433,8.132469133670384e-07,7.62105457852158e-07,0.09292025119066238,0.041268207132816315,0.29530441761016846,0.29928481578826904,0.0609385222196579,0.08408750593662262,0.07109841704368591,0.04041491448879242,0.027017896994948387,0.021931815892457962,0.22432787716388702,0.12132248282432556,0.008693477138876915,0.0097429808229208,0.0006354156066663563,0.0034312729258090258,0.3931628465652466,0.00042998610297217965,0.008484323509037495,0.025060219690203667,0.0043304692953825,0.0003106202930212021,0.0006070940871722996,0.015276343561708927,0.002757249865680933,0.023094473406672478,0.03281724080443382,0.03536093607544899,0.05358525365591049,0.002972282934933901,7.259579433593899e-05,0.002836802275851369,0.0053350361995399,0.0009833571966737509,0.019385386258363724,0.0404629223048687,0.06460005789995193,0.0026617953553795815,0.05271007493138313,0.027394834905862808,0.028246138244867325,2.068475851046969e-06,2.703096470213495e-06
3,3,1.879392925729917e-06,0.0032830731943249702,0.0014305075164884329,0.16541127860546112,0.23273424804210663,0.19046622514724731,0.00014484470011666417,7.985340744198766e-07,7.5145811706534e-07,0.09219818562269211,0.04420538246631622,0.2776615619659424,0.28629210591316223,0.062038104981184006,0.08381769806146622,0.07081864029169083,0.03984875604510307,0.02870810218155384,0.02370353788137436,0.21885697543621063,0.1267019510269165,0.008753038011491299,0.009246701374650002,0.0006191889406181872,0.0036744761746376753,0.3964449465274811,0.0004045161767862737,0.008299781009554863,0.024975985288619995,0.003930961713194847,0.00032145099248737097,0.000636156415566802,0.01692330278456211,0.0029367832466959953,0.02244659513235092,0.032453298568725586,0.03164875507354736,0.046160005033016205,0.003513691248372197,6.737145304214209e-05,0.002645384520292282,0.004891135264188051,0.000920973252505064,0.0196500476449728,0.03675273805856705,0.0578303299844265,0.002620131243020296,0.05142312869429588,0.027250489220023155,0.027378730475902557,2.130741904693423e-06,2.6448929020261858e-06
4,4,1.7525807152196649e-06,0.0033285771496593952,0.0014349725097417831,0.1603669971227646,0.23313292860984802,0.19421330094337463,0.00013875807053409517,7.562460950794048e-07,7.418319682983565e-07,0.09212186932563782,0.045024801045656204,0.27148348093032837,0.28291305899620056,0.06329694390296936,0.08324277400970459,0.07032813131809235,0.03977084904909134,0.029387066140770912,0.024454575031995773,0.21797318756580353,0.12958280742168427,0.008795367553830147,0.009226924739778042,0.0006093792617321014,0.003913273103535175,0.40437227487564087,0.00039545883191749454,0.008035814389586449,0.025186356157064438,0.0035390884149819613,0.0002923927386291325,0.0005829044384881854,0.01855989545583725,0.0030817491933703423,0.022210324183106422,0.0326819010078907,0.02938995137810707,0.03976674750447273,0.00398456072434783,6.544603093061596e-05,0.0023367460817098618,0.0047607203014194965,0.0008192510576918721,0.019118590280413628,0.034083690494298935,0.05179937928915024,0.002569743664935231,0.047766175121068954,0.027400685474276543,0.026801282539963722,2.1989364995533833e-06,2.560743041613023e-06
5,5,1.456924792364589e-06,0.0033887282479554415,0.001422884059138596,0.15720237791538239,0.23241712152957916,0.19667282700538635,0.00013064764789305627,6.60698219689948e-07,6.932501719347783e-07,0.08863012492656708,0.04361405596137047,0.2825678884983063,0.294633150100708,0.06563713401556015,0.08195333927869797,0.06943045556545258,0.039941705763339996,0.02824920229613781,0.023082396015524864,0.21109481155872345,0.12466233223676682,0.00923325214534998,0.009796231985092163,0.0006168942782096565,0.004123085178434849,0.4175047278404236,0.0004027621471323073,0.007994689047336578,0.02535909228026867,0.003743639914318919,0.00021513085812330246,0.0004234955704305321,0.02174375392496586,0.0030210602562874556,0.022869938984513283,0.03269321843981743,0.026633957400918007,0.035747453570365906,0.00469287671148777,7.110762089723721e-05,0.0019030383555218577,0.004798348993062973,0.0006179779302328825,0.01606546901166439,0.03207125514745712,0.04819660261273384,0.002438564784824848,0.03954003378748894,0.023204738274216652,0.022925760596990585,2.1692308109777514e-06,2.3040611267788336e-06
6,6,1.2772526361004566e-06,0.003591455053538084,0.0015064391773194075,0.14752718806266785,0.23045508563518524,0.193240225315094,0.00013001768093090504,6.06112735113129e-07,6.690456189062388e-07,0.08819164335727692,0.04298940673470497,0.29927271604537964,0.311445415019989,0.06657590717077255,0.08227911591529846,0.06979155540466309,0.03945731371641159,0.02657158114016056,0.021281786262989044,0.20222367346286774,0.1195942759513855,0.009509596042335033,0.010339033789932728,0.0006414326489903033,0.004579018801450729,0.43849605321884155,0.0004155377100687474,0.007771750446408987,0.02673817239701748,0.004648929927498102,0.00017095379007514566,0.0003268359578214586,0.026372013613581657,0.002887534908950329,0.02573048323392868,0.03489845246076584,0.02601577900350094,0.03663531318306923,0.005317458882927895,8.01256755948998e-05,0.0016391105018556118,0.0047027310356497765,0.000505967705976218,0.014306571334600449,0.03214946761727333,0.048572756350040436,0.0023877257481217384,0.03168560191988945,0.019711891189217567,0.020613644272089005,2.182792059102212e-06,2.185191306125489e-06
7,7,1.069857603397395e-06,0.0036978370044380426,0.0015463121235370636,0.14077448844909668,0.2286507934331894,0.19149178266525269,0.00012759081437252462,5.368293614083086e-07,5.931940449954709e-07,0.08945891261100769,0.04510555788874626,0.3050979971885681,0.31975752115249634,0.06675352156162262,0.083275206387043,0.07131040841341019,0.03810998052358627,0.026002507656812668,0.020457737147808075,0.19859014451503754,0.11952851712703705,0.009557822719216347,0.010122004896402359,0.0006508550723083317,0.005140118766576052,0.4569545090198517,0.00040875343256630003,0.007578524760901928,0.027237867936491966,0.006051577161997557,0.00013458430476021022,0.00024471693905070424,0.029886195436120033,0.0027022298891097307,0.028770478442311287,0.03700362518429756,0.025438185781240463,0.037922874093055725,0.0057467310689389706,9.176461026072502e-05,0.0014659914886578918,0.004660926293581724,0.00042160743032582104,0.012293651700019836,0.029847770929336548,0.04443984851241112,0.0022120377980172634,0.021607259288430214,0.01627439074218273,0.017619458958506584,2.152507704522577e-06,1.978253521883744e-06
8,8,9.162662877315597e-07,0.0037647858262062073,0.0016417063307017088,0.13111644983291626,0.22991186380386353,0.18702249228954315,0.000129853404359892,4.922819698549574e-07,5.593711875917506e-07,0.08963266760110855,0.04527381435036659,0.31608662009239197,0.3327880799770355,0.06725791841745377,0.08486466109752655,0.07336234301328659,0.03627237677574158,0.025129185989499092,0.019355596974492073,0.19616509974002838,0.11891622096300125,0.009770792908966541,0.010424318723380566,0.0006638966733589768,0.005991207901388407,0.48188358545303345,0.0004073117161169648,0.007064015604555607,0.0299044419080019,0.007736819330602884,0.00011257785808993503,0.0001973941980395466,0.03156901150941849,0.00252121826633811,0.03235786408185959,0.041677817702293396,0.02577010728418827,0.03872792422771454,0.006051828619092703,0.0001053168234648183,0.0013600243255496025,0.004576476290822029,0.00037873812834732234,0.010970229282975197,0.027890918776392937,0.03961043432354927,0.0020095387008041143,0.015158486552536488,0.01457174215465784,0.01547203492373228,2.2439837721321965e-06,1.8841629980670405e-06
9,9,8.644618674225057e-07,0.003804846666753292,0.0016985532129183412,0.12654714286327362,0.22906672954559326,0.18321006000041962,0.0001356613211100921,4.687497323629941e-07,5.660307351718075e-07,0.08941446989774704,0.04464724287390709,0.3249942362308502,0.3423623740673065,0.06915970891714096,0.08389259874820709,0.07254713773727417,0.03649521246552467,0.024685408920049667,0.018682308495044708,0.1983729600906372,0.11813943833112717,0.010050353594124317,0.01075054332613945,0.0006790338084101677,0.007171437609940767,0.5002073049545288,0.0003981290210504085,0.006588660180568695,0.033894795924425125,0.009031248278915882,9.66731968219392e-05,0.0001685669121798128,0.032470788806676865,0.002484450116753578,0.034687090665102005,0.04555559530854225,0.02595294825732708,0.03872030973434448,0.0062285312451422215,0.00011217707651667297,0.0013160996604710817,0.004638190381228924,0.0003715788188856095,0.010666243731975555,0.0283579770475626,0.03909899666905403,0.001806033425964415,0.012631013058125973,0.014458373188972473,0.01519880909472704,2.3408690594806103e-06,1.8888352997237234e-06
10,10,7.610632337673451e-07,0.0037923490162938833,0.0017156024696305394,0.12680864334106445,0.22718194127082825,0.1817552000284195,0.0001335461565759033,4.394233314997109e-07,5.299461349750345e-07,0.0883294939994812,0.04481017589569092,0.325067400932312,0.3434288203716278,0.0703662782907486,0.08373576402664185,0.07262008637189865,0.03620468080043793,0.025003256276249886,0.018787914887070656,0.20088796317577362,0.11633782833814621,0.010377811267971992,0.010836522094905376,0.0006610574200749397,0.009281354956328869,0.5156642198562622,0.0003351587220095098,0.006027097348123789,0.0300389863550663,0.009835631586611271,9.685903933132067e-05,0.0001660073030507192,0.032153524458408356,0.0024976402055472136,0.03641701117157936,0.04519368335604668,0.022439749911427498,0.03793177008628845,0.006461447570472956,0.00011029362212866545,0.0012256964109838009,0.004516774322837591,0.0003588719409890473,0.010458284057676792,0.02555268444120884,0.03567478433251381,0.0017080786637961864,0.011033996008336544,0.014354540966451168,0.015196903608739376,2.395366891505546e-06,1.8413927591609536e-06
