Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:47:22:32.813,61,0.0092883212,0.0000000000,0.0060281674,0.0000000000,0.0000000000,0.0258105602,0.0000000000,0.0092919189,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0258094445,0.0000000000,0.1137096658,0.0000000000,0.0514801964,0.2250098437,0.0616118312,0.1958957464,0.0468851514,0.0030881653,0.0000000000,0.0000000000,0.0000000000,0.0516032130,0.0392816551,0.0290040113,0.0301262308,0.1471236795,0.1503491402,0.0242368188,0.0202277973,0.0065512415,0.0114091821,0.0153662916,0.0123788118,0.4738436937,0.4547764361,0.0818026364,0.0851917267,0.0000000000,0.0000000000,0.0556360856,0.0000000000,0.0000000000,0.0023363659,0.0223903600,0.0223152712,0.0331074446,0.0373605117,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0031705536,-0.0498722121,0.0028751243,0.0036566826,-0.0498614907,-0.0002817846
13:47:22:33.814,61,0.0082718823,0.0000000000,0.0059562461,0.0000000000,0.0000000000,0.0258396342,0.0000000000,0.0082716364,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0258385707,0.0000000000,0.1136870086,0.0000000000,0.0508029051,0.2241031826,0.0608297661,0.1913079023,0.0455008224,0.0035145602,0.0000000000,0.0000000000,0.0000000000,0.0473889001,0.0330552459,0.0298670735,0.0310231764,0.1466897875,0.1497752815,0.0242554210,0.0210169237,0.0058498732,0.0106759481,0.0153534999,0.0124718156,0.4768988490,0.4575354457,0.0810887441,0.0845625326,0.0000000000,0.0000000000,0.0548691899,0.0000000000,0.0000000000,0.0022295229,0.0225113612,0.0225206558,0.0324670412,0.0366824791,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0031508692,-0.0488879755,0.0028238876,0.0036128145,-0.0488771647,-0.0002712220
13:47:22:34.814,61,0.0074519371,0.0000000000,0.0053257095,0.0000000000,0.0000000000,0.0257107485,0.0000000000,0.0074497927,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0257097296,0.0000000000,0.1136898547,0.0000000000,0.0499193706,0.2238315046,0.0601847805,0.1890483499,0.0445762090,0.0039211190,0.0000000000,0.0000000000,0.0000000000,0.0454242043,0.0304579642,0.0306108333,0.0317930840,0.1466229409,0.1495445222,0.0242628045,0.0215664823,0.0052625062,0.0100660427,0.0153303184,0.0125480499,0.4782426953,0.4587259591,0.0806448758,0.0841832906,0.0000000000,0.0000000000,0.0543616265,0.0000000000,0.0000000000,0.0021425614,0.0225637797,0.0226604957,0.0318838060,0.0360776633,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0027774461,-0.0473276488,0.0027239879,0.0032330658,-0.0473167263,-0.0002714936
13:47:22:35.813,61,0.0067591532,0.0000000000,0.0038488456,0.0000000000,0.0000000000,0.0255565979,0.0000000000,0.0067561362,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0255556349,0.0000000000,0.1156080067,0.0000000000,0.0485457033,0.2245891839,0.0596187599,0.1879180819,0.0438638628,0.0043788757,0.0000000000,0.0000000000,0.0000000000,0.0444276966,0.0290168859,0.0312972218,0.0324808881,0.1470272541,0.1496477127,0.0242138635,0.0220010448,0.0047014472,0.0095161162,0.0153386639,0.0126580708,0.4896254241,0.4678941667,0.0805450827,0.0841391236,0.0000000000,0.0000000000,0.0539594367,0.0000000000,0.0000000000,0.0021007392,0.0225868020,0.0227989890,0.0314035937,0.0355901644,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0019080937,-0.0463170707,0.0026239501,0.0023454940,-0.0463060737,-0.0003077867
13:47:22:36.815,61,0.0061546667,0.0000000000,0.0021690216,0.0000000000,0.0000000000,0.0253156647,0.0062406668,0.0061513153,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0253147595,0.0060724057,0.1197052374,0.0000000000,0.0477148816,0.2368901074,0.0592330731,0.1872915179,0.0433361530,0.0049443813,0.0000000000,0.0000000000,0.0000000000,0.0438454077,0.0284706131,0.0319061652,0.0330665782,0.1514050514,0.1521624327,0.0241459478,0.0222978741,0.0041905940,0.0090274625,0.0152927870,0.0126925735,0.5065740347,0.4846586287,0.0807208195,0.0843042582,0.0000000000,0.0000000000,0.0536579043,0.0000000000,0.0000000000,0.0020468431,0.0225387532,0.0228512380,0.0310412925,0.0352117196,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008990727,-0.0446032397,0.0024767967,0.0013357103,-0.0445921272,-0.0003451951
13:47:22:37.815,61,0.0056160628,0.0000000000,0.0006425320,0.0000000000,0.0000000000,0.0250014737,0.0092821838,0.0056126546,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0250006467,0.0091164857,0.1297065616,0.0000000000,0.0468959510,0.2741025686,0.0592156351,0.1880230904,0.0431176536,0.0055146529,0.0000000000,0.0000000000,0.0000000000,0.0440254956,0.0295521580,0.0324376114,0.0335720256,0.1622093022,0.1613662392,0.0240203515,0.0225094184,0.0036718370,0.0085506411,0.0152049959,0.0126712201,0.5260992646,0.5049270988,0.0810899362,0.0846325085,0.0000000000,0.0000000000,0.0534945354,0.0000000000,0.0000000000,0.0020163369,0.0224320497,0.0228406060,0.0308829565,0.0350318179,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0000111945,-0.0431247130,0.0023447252,0.0004182896,-0.0431135073,-0.0003829628
13:47:22:38.815,61,0.0051298607,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0247055870,0.0110031217,0.0051265340,0.0000000000,0.0018687098,0.0000000000,0.0000000000,0.0247048158,0.0108394464,0.1393724233,0.0000000000,0.0464556217,0.2930618525,0.0594744161,0.2021443099,0.0432219952,0.0059340689,0.0000000000,0.0000000000,0.0000000000,0.0587065332,0.0481863581,0.0327812098,0.0338852592,0.1722598523,0.1754297316,0.0238165837,0.0225660801,0.0031566534,0.0081126019,0.0150248809,0.0125280879,0.5396355391,0.5226797462,0.0816707835,0.0851671547,0.0000000000,0.0000000000,0.0535073467,0.0000000000,0.0000000000,0.0020010329,0.0222447794,0.0227263495,0.0307244714,0.0348320454,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0012244284,-0.0428566299,0.0022588891,-0.0007957546,-0.0428454056,-0.0004516845
13:47:22:39.815,61,0.0046874792,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0243325029,0.0199081600,0.0046842992,0.0000000000,0.0045146830,0.0000000000,0.0000000000,0.0243318006,0.0197666790,0.1589077562,0.0000000000,0.0459749512,0.3229577839,0.0599071383,0.2056123167,0.0433837213,0.0062868940,0.0000000000,0.0000000000,0.0000000000,0.0641195178,0.0537957028,0.0331317186,0.0342195034,0.1894030720,0.1943196803,0.0236503277,0.0225823689,0.0026687451,0.0076926169,0.0148136485,0.0123389214,0.5828110576,0.5658417344,0.0822936147,0.0857330337,0.0000000000,0.0000000000,0.0535561629,0.0000000000,0.0000000000,0.0019760272,0.0219365917,0.0224953014,0.0306204725,0.0346927941,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0026900545,-0.0415489487,0.0020983368,-0.0022829254,-0.0415376239,-0.0005297739
13:47:22:40.816,61,0.0042830668,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0239517614,0.0292200241,0.0042800615,0.0000000000,0.0052654743,0.0000000000,0.0000000000,0.0239511039,0.0290921088,0.1714900732,0.0000000000,0.0456639379,0.3472798467,0.0637296736,0.2073747367,0.0438713543,0.0065809125,0.0000000000,0.0000000000,0.0000000000,0.0685206801,0.0584488809,0.0335580856,0.0346363224,0.1983449012,0.2051113099,0.0235869642,0.0227006152,0.0022622657,0.0073105083,0.0145737492,0.0121128447,0.5956538320,0.5790421963,0.0826838315,0.0860838369,0.0000000000,0.0000000000,0.0536376052,0.0000000000,0.0000000000,0.0019590505,0.0216158275,0.0222359207,0.0305495411,0.0345838480,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0031038150,-0.0405877829,0.0020183700,-0.0026775980,-0.0405764170,-0.0005470164
13:47:22:41.817,61,0.0039123371,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0236921348,0.0409228280,0.0039095124,0.0000000000,0.0063750842,0.0000000000,0.0000000000,0.0236915164,0.0407737866,0.1777464896,0.0000000000,0.0454753637,0.3809214830,0.0652863979,0.2078637332,0.0444382504,0.0067099733,0.0000000000,0.0000000000,0.0000000000,0.0708213523,0.0612975545,0.0338815488,0.0349632800,0.2031546235,0.2124620825,0.0234822128,0.0227105916,0.0017992300,0.0069154925,0.0142399576,0.0117770713,0.6047492027,0.5897933245,0.0831267685,0.0864712000,0.0000000000,0.0000000000,0.0535414740,0.0000000000,0.0000000000,0.0019114265,0.0211919695,0.0218604766,0.0304895900,0.0344634578,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0037215054,-0.0409589410,0.0020021845,-0.0033112708,-0.0409475863,-0.0005879707
