Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:43:37:51.979,61,0.0014445311,0.0000000000,0.0000000000,0.0075590536,0.0000000000,0.0162626542,0.0437593199,0.0014432552,0.0000000000,0.0249153376,0.0000000000,0.0000000000,0.0162639581,0.0434920490,0.0019260040,0.0029379099,0.0000000000,0.0032582800,0.0038310867,0.0024745862,0.0152153959,0.0000000000,0.0055823261,0.0000000000,0.0000000000,0.0669421852,0.0499407761,0.0000000000,0.0000000000,0.0000410290,0.0000000000,0.0033208970,0.0001289069,0.0049992227,0.0019795576,0.0000000000,0.0000000000,0.0017568469,0.0018220269,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0050546732,0.0171900336,0.0171609968,0.0029716068,0.0017996866,0.0028049748,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0141064413,-0.0675290525,0.0031863225,-0.0140035162,-0.0675255358,-0.0011138988
13:43:37:52.980,61,0.0013016834,0.0000000000,0.0000000000,0.0076949201,0.0000000000,0.0161274020,0.0450220220,0.0013004743,0.0000000000,0.0250643492,0.0000000000,0.0000000000,0.0161286257,0.0447603688,0.0017908977,0.0027409086,0.0000000000,0.0029905699,0.0035590581,0.0023337016,0.0146909282,0.0000000000,0.0056598973,0.0000000000,0.0000000000,0.0656785369,0.0475215688,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0031088418,0.0000218090,0.0048787692,0.0020280115,0.0000000000,0.0000000000,0.0016577205,0.0017272234,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0048256847,0.0167391039,0.0167101063,0.0029254698,0.0017102519,0.0027064844,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0141887702,-0.0672917366,0.0031673170,-0.0140864272,-0.0672881901,-0.0011178380
13:43:37:53.979,61,0.0011702197,0.0000000000,0.0000000000,0.0065979371,0.0000000000,0.0160355940,0.0451046899,0.0011690719,0.0000000000,0.0238446221,0.0000000000,0.0000000000,0.0160367321,0.0448450707,0.0016354870,0.0025098037,0.0000000000,0.0027150102,0.0032846639,0.0022006151,0.0141785750,0.0000000000,0.0058096838,0.0000000000,0.0000000000,0.0622016452,0.0436849259,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0028769246,0.0000000000,0.0047130878,0.0020439695,0.0000000000,0.0000000000,0.0015626329,0.0016361343,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0045999917,0.0162218232,0.0161932353,0.0028759469,0.0016290336,0.0026097388,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0135111175,-0.0676213056,0.0032128280,-0.0134167559,-0.0676177666,-0.0010935499
13:43:37:54.980,61,0.0010492328,0.0000000000,0.0000000000,0.0059826742,0.0000000000,0.0158635061,0.0456563011,0.0010481414,0.0000000000,0.0231392197,0.0000000000,0.0000000000,0.0158645641,0.0453975908,0.0014905091,0.0022659004,0.0000000000,0.0024622725,0.0030309721,0.0020827001,0.0136940619,0.0000000000,0.0058959862,0.0000000000,0.0000000000,0.0599621497,0.0412491038,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0026923798,0.0000000000,0.0045951894,0.0020851775,0.0000000000,0.0000000000,0.0014812992,0.0015576138,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0044098315,0.0160212163,0.0159920771,0.0028718093,0.0015518335,0.0025219126,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0131185837,-0.0675479174,0.0032212257,-0.0130411219,-0.0675443485,-0.0010810640
13:43:37:55.980,61,0.0009378876,0.0000000000,0.0000000000,0.0052742776,0.0000000000,0.0156890377,0.0466846600,0.0009368480,0.0000000000,0.0223557483,0.0000000000,0.0000000000,0.0156900175,0.0464294404,0.0013518927,0.0020145739,0.0000000000,0.0022173317,0.0027844573,0.0019517767,0.0131506762,0.0000000000,0.0059515489,0.0000000000,0.0000000000,0.0555698089,0.0372058786,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0025061979,0.0000000000,0.0044064531,0.0020695915,0.0000000000,0.0000000000,0.0014022676,0.0014799584,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0042170337,0.0157342721,0.0157044642,0.0028287442,0.0014752996,0.0024350889,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0126812346,-0.0668556541,0.0031898897,-0.0126085598,-0.0668520480,-0.0010685768
13:43:37:56.981,61,0.0008354158,0.0000000000,0.0000000000,0.0051459260,0.0000000000,0.0155680683,0.0477980040,0.0008344240,0.0000000000,0.0222148001,0.0000000000,0.0000000000,0.0155689772,0.0475434698,0.0012557565,0.0017611576,0.0000000000,0.0020099077,0.0025743525,0.0018294168,0.0126259113,0.0000000000,0.0059641190,0.0000000000,0.0000000000,0.0541709922,0.0359190181,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0023579677,0.0000000000,0.0041630650,0.0019979873,0.0000000000,0.0000000000,0.0013427401,0.0014181694,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0040402408,0.0153724207,0.0153421536,0.0027677687,0.0014176748,0.0023712716,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0126016624,-0.0663527548,0.0031591144,-0.0125301462,-0.0663491040,-0.0010674361
13:43:37:57.982,61,0.0007411101,0.0000000000,0.0000000000,0.0048774676,0.0000000000,0.0155016994,0.0483800918,0.0007401624,0.0000000000,0.0219301805,0.0000000000,0.0000000000,0.0155025506,0.0481241643,0.0012073681,0.0015097801,0.0000000000,0.0018652391,0.0024190769,0.0017115566,0.0121445106,0.0000000000,0.0059829699,0.0000000000,0.0000000000,0.0533909723,0.0352674685,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0022765035,0.0000000000,0.0038704111,0.0018526964,0.0000000000,0.0000000000,0.0013040588,0.0013748955,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0038942550,0.0150541561,0.0150228506,0.0026932361,0.0013726475,0.0023225562,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0124423988,-0.0659416988,0.0031373759,-0.0123662129,-0.0659380406,-0.0010628873
13:43:37:58.982,61,0.0006543198,0.0000000000,0.0000000000,0.0041069542,0.0000000000,0.0153619163,0.0498478375,0.0006534127,0.0000000000,0.0210841820,0.0000000000,0.0000000000,0.0153627032,0.0495948270,0.0011420464,0.0012699524,0.0000000000,0.0016966908,0.0022457582,0.0015838648,0.0115620717,0.0000000000,0.0058154957,0.0000000000,0.0000000000,0.0526843257,0.0347736776,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0021746818,0.0000000000,0.0034981898,0.0016642212,0.0000000000,0.0000000000,0.0012793308,0.0013410591,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0037566458,0.0148948561,0.0148627013,0.0025773130,0.0013317628,0.0022755119,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0119697638,-0.0650573149,0.0030957942,-0.0118957516,-0.0650535971,-0.0010483421
13:43:37:59.983,61,0.0005744460,0.0000000000,0.0000000000,0.0035674956,0.0000000000,0.0152054261,0.0541550256,0.0005735762,0.0000000000,0.0205158088,0.0000000000,0.0000000000,0.0152061349,0.0538940802,0.0010625069,0.0009694731,0.0000000000,0.0015220300,0.0020713592,0.0014585732,0.0109786084,0.0000000000,0.0057568704,0.0000000000,0.0000000000,0.0519317836,0.0341750570,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0020482154,0.0000000000,0.0031678022,0.0015250019,0.0000000000,0.0000000000,0.0012499357,0.0013046041,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0035862618,0.0148085514,0.0147746559,0.0024557107,0.0012805111,0.0022148201,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0116511621,-0.0640288591,0.0030398089,-0.0115663521,-0.0640250891,-0.0010385548
13:43:38:00.982,61,0.0005009376,0.0000000000,0.0000000000,0.0023304322,0.0000000000,0.0150286984,0.0556142963,0.0005001020,0.0000000000,0.0191951748,0.0000000000,0.0000000000,0.0150293475,0.0553530678,0.0009965900,0.0007660529,0.0000000000,0.0013586970,0.0019029985,0.0013598466,0.0105421273,0.0000000000,0.0056114434,0.0000000000,0.0000000000,0.0517968349,0.0341819301,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0019607460,0.0000000000,0.0030234903,0.0015073339,0.0000000000,0.0000000000,0.0012114188,0.0012592314,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0034538796,0.0148063721,0.0147720771,0.0023917009,0.0012346413,0.0021571931,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0109150968,-0.0633723289,0.0030247625,-0.0108111696,-0.0633685291,-0.0010111318
