Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
13:45:28:10.843,61,0.0000000000,0.0000000000,0.0522171184,0.0000000000,0.0000000000,0.0075764521,0.0577182174,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0075768209,0.0577186793,0.0028996689,0.0054666703,0.0000000000,0.0054366812,0.0056381561,0.0021613776,0.0063656536,0.0014866061,0.0000000000,0.0000000000,0.0000000000,0.0348752625,0.0285088290,0.0003534014,0.0003566463,0.0040505514,0.0035137851,0.0049797427,0.0018592094,0.0013742872,0.0000000000,0.0000000000,0.0000000000,0.0030199732,0.0025301797,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0056993118,0.0271876380,0.0272448715,0.0000000000,0.0034196924,0.0038201381,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0315878540,-0.0426094346,0.0041829403,0.0313825831,-0.0426003821,0.0014491566
13:45:28:11.844,61,0.0000000000,0.0000000000,0.0520103611,0.0000000000,0.0000000000,0.0075261216,0.0582351796,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0075264946,0.0582365431,0.0029285820,0.0055818679,0.0000000000,0.0054407571,0.0056464332,0.0021720838,0.0063527357,0.0017787461,0.0000000000,0.0000000000,0.0000000000,0.0340421423,0.0279483479,0.0003718727,0.0003712293,0.0041721077,0.0036160538,0.0050003533,0.0018380112,0.0014538628,0.0000000000,0.0000000000,0.0000000000,0.0030555672,0.0025508713,0.0000148220,0.0000101866,0.0000000000,0.0000000000,0.0056701889,0.0272112153,0.0272701345,0.0000000000,0.0034232743,0.0038089661,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0314321443,-0.0407878198,0.0041323816,0.0312540084,-0.0407786928,0.0015158579
13:45:28:12.844,61,0.0000000000,0.0000000000,0.0560348369,0.0000000000,0.0000000000,0.0074256943,0.0589154288,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0074260593,0.0589173846,0.0029116336,0.0057064500,0.0000000000,0.0054323380,0.0056526270,0.0022330491,0.0064707580,0.0018958811,0.0000000000,0.0000000000,0.0000000000,0.0333797000,0.0273459926,0.0003798994,0.0003779820,0.0042802435,0.0037192621,0.0049532778,0.0017828026,0.0016284890,0.0000000000,0.0000000000,0.0000000000,0.0030759645,0.0025647872,0.0000421506,0.0000330195,0.0000000000,0.0000000000,0.0056376206,0.0273584053,0.0274172556,0.0000300425,0.0034069745,0.0037740059,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0338599384,-0.0391584896,0.0042472463,0.0336656645,-0.0391492397,0.0017328900
13:45:28:13.845,61,0.0000000000,0.0000000000,0.0587963872,0.0000000000,0.0000000000,0.0072609256,0.0593639202,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0072612795,0.0593665764,0.0028662647,0.0058409274,0.0000000000,0.0053921323,0.0056155571,0.0022512320,0.0065348521,0.0020899314,0.0000000000,0.0000000000,0.0000000000,0.0326772295,0.0268578809,0.0003724771,0.0003665207,0.0043063420,0.0037336766,0.0048893718,0.0017172947,0.0017762221,0.0000000000,0.0000000000,0.0000000000,0.0030545557,0.0025406212,0.0000567328,0.0000418279,0.0000000000,0.0000000000,0.0056078141,0.0279339310,0.0279994030,0.0000646288,0.0033545468,0.0036956745,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0355147198,-0.0382674262,0.0043341750,0.0353208110,-0.0382581353,0.0018762068
13:45:28:14.845,61,0.0000000000,0.0000000000,0.0597084053,0.0000000000,0.0000000000,0.0071727769,0.0594903044,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0071731079,0.0594936088,0.0028088323,0.0058557624,0.0000000000,0.0053294692,0.0055699046,0.0022913313,0.0066485684,0.0021612255,0.0000000000,0.0000000000,0.0000000000,0.0318359993,0.0263343845,0.0003628087,0.0003554436,0.0043220771,0.0037625306,0.0047922488,0.0016502735,0.0019034597,0.0000000000,0.0000000000,0.0000000000,0.0030452581,0.0025307613,0.0000756035,0.0000552499,0.0000000000,0.0000000000,0.0055589592,0.0279946513,0.0280626100,0.0001381144,0.0033173626,0.0036318232,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0360479169,-0.0375617594,0.0043552481,0.0358662009,-0.0375524387,0.0019427957
13:45:28:15.845,61,0.0000000000,0.0000000000,0.0586313382,0.0000000000,0.0000000000,0.0071455226,0.0568057820,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0071458421,0.0568115041,0.0027833842,0.0058434261,0.0000000000,0.0053008981,0.0055586388,0.0023536333,0.0068125911,0.0021653776,0.0000000000,0.0000000000,0.0000000000,0.0311912373,0.0259661451,0.0003591041,0.0003541757,0.0043481300,0.0038218212,0.0047543878,0.0016026784,0.0021199665,0.0000000000,0.0000000000,0.0000000000,0.0030545839,0.0025399711,0.0001041957,0.0000801052,0.0000000000,0.0000000000,0.0055234171,0.0278605986,0.0279303733,0.0002066670,0.0033300428,0.0036212159,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0354064368,-0.0378642678,0.0043197554,0.0352206081,-0.0378549695,0.0018879129
13:45:28:16.845,61,0.0000000000,0.0000000000,0.0580219738,0.0000000000,0.0000000000,0.0072032865,0.0319678821,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0072035985,0.0319710597,0.0027874040,0.0057665799,0.0000000000,0.0053035486,0.0055759512,0.0024391790,0.0069989930,0.0020850687,0.0000000000,0.0000000000,0.0000000000,0.0306709167,0.0257614888,0.0003580715,0.0003611395,0.0043815486,0.0039051501,0.0047936304,0.0015731627,0.0024657862,0.0000000000,0.0000000000,0.0000743795,0.0030680900,0.0025576698,0.0001434987,0.0001177696,0.0000000000,0.0000000000,0.0055626817,0.0279159267,0.0279853735,0.0002484883,0.0033948342,0.0036660566,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0350695103,-0.0369490981,0.0042807935,0.0348522514,-0.0369397029,0.0019050844
13:45:28:17.846,61,0.0625025854,0.0000000000,0.0399962515,0.0000000000,0.0000000000,0.0074470304,0.0000000000,0.0625255704,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0074473065,0.0000000000,0.0028252089,0.0056077037,0.0000000000,0.0054060821,0.0057009193,0.0026341281,0.0073090880,0.0017084761,0.0000000000,0.0000000000,0.0000000000,0.0279479790,0.0234294534,0.0004150493,0.0004378263,0.0044960305,0.0041019181,0.0050167809,0.0015812063,0.0044008358,0.0004266480,0.0001792960,0.0003509876,0.0031304390,0.0026344198,0.0002208578,0.0002032640,0.0000000000,0.0000000000,0.0059414683,0.0326242372,0.0326662697,0.0002771476,0.0035606830,0.0038246852,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0241536926,-0.0223988965,0.0031365252,0.0239986647,-0.0223886594,0.0016915461
13:45:28:18.847,61,0.1641618907,0.0349242873,0.0000000000,0.0000000000,0.0000000000,0.0085219406,0.0000000000,0.1645578146,0.0348318145,0.0018623555,0.0000000000,0.0000000000,0.0085220635,0.0000000000,0.0030567411,0.0052505527,0.0000000000,0.0058361865,0.0062023127,0.0031689380,0.0078331502,0.0010027628,0.0000000000,0.0000000000,0.0000000000,0.0269402228,0.0222625080,0.0006273777,0.0006878271,0.0054240450,0.0059652487,0.0060436693,0.0017034380,0.0124622695,0.0018868905,0.0007022672,0.0008884341,0.0034656860,0.0029813775,0.0003889005,0.0003895955,0.0000000000,0.0000000000,0.0078409230,0.0382368043,0.0382423140,0.0003286115,0.0040002912,0.0043114549,0.0019452989,0.0023801443,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0009227917,0.0177745745,-0.0010827454,-0.0008979244,0.0177871510,0.0000613817
13:45:28:19.847,61,0.3565241992,0.2120087445,0.0000000000,0.0206675883,0.0000000000,0.0104321875,0.0000000000,0.3567826152,0.2111000121,0.0393270589,0.0000000000,0.0000000000,0.0104321437,0.0000000000,0.0034305409,0.0047868649,0.0000000000,0.0064179203,0.0072003314,0.0065612723,0.0091290940,0.0001040312,0.0000000000,0.0000000000,0.0000000000,0.0263829641,0.0215335898,0.0009766796,0.0010983951,0.0083551239,0.0105379624,0.0090724360,0.0018560756,0.0335716195,0.0091145718,0.0052193967,0.0051426436,0.0040529454,0.0036201398,0.0007311421,0.0007583795,0.0000000000,0.0000000000,0.0111528058,0.0404464677,0.0404393710,0.0005275949,0.0046662288,0.0054146596,0.0108511643,0.0118817780,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0205043517,0.1079700813,-0.0103352414,-0.0217375904,0.1079900265,-0.0035829730
13:45:28:20.848,61,0.5866697431,0.3070572615,0.0000000000,0.0271812081,0.0000000000,0.0147903198,0.0000000000,0.5866632462,0.3058052659,0.0446080305,0.0000000000,0.0000000000,0.0147900200,0.0000000000,0.0038229057,0.0041972669,0.0000000000,0.0069973394,0.0079886988,0.0087031918,0.0100720013,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0258780569,0.0204371419,0.0013933692,0.0015844819,0.0114772702,0.0147010386,0.0107756341,0.0019727887,0.0401187651,0.0125978747,0.0103015918,0.0097296322,0.0047950139,0.0045367908,0.0011505121,0.0012017635,0.0000000000,0.0000000000,0.0153703140,0.0433187783,0.0432955772,0.0007850267,0.0058314558,0.0069839861,0.0168377683,0.0174970739,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0224951245,0.1563918889,-0.0146702742,-0.0254433248,0.1564170718,-0.0051926929
13:45:28:21.848,61,0.6610519886,0.2899069786,0.0000000000,0.0063458439,0.0000000000,0.0175101589,0.0000000000,0.6609738469,0.2890749872,0.0218541007,0.0000000000,0.0000000000,0.0175097529,0.0000000000,0.0041738763,0.0037393786,0.0000000000,0.0074327127,0.0085801529,0.0098618753,0.0107138641,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0253959931,0.0197582543,0.0017797844,0.0020398174,0.0129554328,0.0165534187,0.0118810600,0.0020252557,0.0437365584,0.0149266692,0.0130149312,0.0121635878,0.0054405141,0.0052398285,0.0015829406,0.0016432782,0.0000000000,0.0000000000,0.0183221679,0.0486122556,0.0485838614,0.0010227587,0.0066731023,0.0079755820,0.0197071452,0.0201337598,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0103928186,0.1476256251,-0.0108829243,-0.0131453313,0.1476500034,-0.0019128551
13:45:28:22.848,61,0.4712095559,0.2833233178,0.0000000000,0.0120741157,0.0000000000,0.0189254228,0.0000000000,0.4711967409,0.2823796570,0.0295595862,0.0000000000,0.0000000000,0.0189249460,0.0000000000,0.0045567006,0.0034096311,0.0000000000,0.0079652127,0.0092541995,0.0107673826,0.0113395257,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0248654131,0.0192571227,0.0021761064,0.0024965731,0.0141182803,0.0178644210,0.0128415870,0.0021610609,0.0455296040,0.0161884222,0.0144114755,0.0134612964,0.0061492454,0.0059584873,0.0019705738,0.0020413448,0.0000000000,0.0000000000,0.0199000780,0.0501769744,0.0501467474,0.0011971857,0.0074378345,0.0088109076,0.0214216448,0.0217525866,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0146076791,0.1442781985,-0.0117089218,-0.0165424943,0.1443015486,-0.0027519325
