frame,timestamp,upper_x_0,upper_y_0,upper_x_1,upper_y_1,upper_x_2,upper_y_2,upper_x_3,upper_y_3,upper_x_4,upper_y_4,upper_x_5,upper_y_5,upper_x_6,upper_y_6,upper_x_7,upper_y_7,upper_x_8,upper_y_8,upper_x_9,upper_y_9,upper_x_10,upper_y_10,upper_x_11,upper_y_11,lower_x_0,lower_y_0,lower_x_1,lower_y_1,lower_x_2,lower_y_2,lower_x_3,lower_y_3,lower_x_4,lower_y_4,lower_x_5,lower_y_5,lower_x_6,lower_y_6,lower_x_7,lower_y_7,lower_x_8,lower_y_8,lower_x_9,lower_y_9,lower_x_10,lower_y_10,lower_x_11,lower_y_11
13.0,0.2,767.3,2165.6,866.4,2094.5,971.4,2057.2,1058.6,2078.9,1152.0,2056.4,1256.5,2097.0,1342.3,2160.4,1296.4,2167.7,1156.3,2148.6,1059.8,2160.1,971.8,2153.6,812.8,2169.4,812.8,2169.4,967.8,2156.1,1056.0,2163.1,1151.5,2152.0,1296.4,2167.7,1342.3,2160.4,1255.9,2241.6,1158.4,2276.0,1058.0,2288.6,964.5,2282.7,858.4,2250.2,767.3,2165.6
14.0,0.217,764.8,2166.4,863.2,2095.5,967.8,2058.1,1055.4,2079.9,1149.5,2057.7,1254.0,2098.3,1339.6,2161.8,1293.7,2168.9,1153.7,2149.4,1056.5,2160.6,968.0,2154.0,810.4,2170.0,810.4,2170.0,964.1,2158.1,1052.8,2165.3,1149.1,2154.3,1293.7,2168.9,1339.6,2161.8,1253.4,2242.4,1156.1,2277.0,1054.9,2289.4,961.0,2283.4,855.4,2250.5,764.8,2166.4
15.0,0.233,761.6,2167.3,859.9,2095.9,964.5,2058.5,1052.3,2080.5,1146.6,2058.1,1251.3,2098.8,1336.8,2162.8,1290.7,2169.8,1150.7,2150.1,1053.5,2161.4,964.7,2154.7,807.1,2170.9,807.1,2170.9,960.7,2158.8,1049.6,2166.1,1146.1,2155.0,1290.7,2169.8,1336.8,2162.8,1250.6,2243.3,1152.9,2278.1,1051.5,2290.7,957.4,2284.5,851.9,2251.4,761.6,2167.3
16.0,0.25,760.4,2167.9,858.4,2096.3,963.0,2059.6,1050.6,2081.8,1144.7,2059.4,1249.5,2099.7,1335.1,2163.7,1289.0,2170.4,1149.0,2150.9,1051.9,2162.1,963.4,2155.3,805.9,2171.2,805.9,2171.2,959.9,2160.2,1048.7,2167.5,1145.0,2156.4,1289.0,2170.4,1335.1,2163.7,1249.4,2244.0,1151.8,2279.2,1050.5,2291.9,956.5,2285.6,850.9,2252.3,760.4,2167.9
17.0,0.267,758.5,2169.3,856.8,2097.5,961.0,2060.7,1049.0,2082.6,1143.5,2060.0,1248.3,2100.3,1333.8,2164.3,1287.4,2171.2,1147.6,2152.0,1050.1,2163.6,961.2,2157.0,804.0,2172.6,804.0,2172.6,957.1,2160.3,1046.2,2167.6,1142.8,2156.5,1287.4,2171.2,1333.8,2164.3,1247.5,2244.9,1149.6,2280.1,1048.0,2292.9,953.6,2286.5,848.8,2253.2,758.5,2169.3
18.0,0.283,757.8,2170.2,856.0,2098.8,960.1,2062.0,1048.3,2084.0,1142.8,2061.4,1247.7,2101.5,1333.2,2165.1,1286.9,2172.0,1147.0,2153.3,1049.5,2164.7,960.4,2158.1,803.5,2173.4,803.5,2173.4,956.5,2161.2,1045.8,2168.6,1142.5,2157.5,1286.9,2172.0,1333.2,2165.1,1247.2,2245.4,1149.5,2281.0,1047.7,2293.6,953.3,2287.4,848.4,2254.0,757.8,2170.2
19.0,0.3,756.8,2171.3,855.3,2099.8,959.8,2063.1,1047.8,2085.2,1142.2,2062.5,1247.4,2102.4,1333.4,2166.0,1287.1,2172.9,1146.6,2154.1,1049.2,2165.6,960.4,2159.0,802.5,2174.5,802.5,2174.5,956.8,2163.1,1045.9,2170.3,1142.5,2159.1,1287.1,2172.9,1333.4,2166.0,1247.4,2246.4,1149.5,2282.0,1047.9,2294.8,953.6,2288.7,847.9,2255.4,756.8,2171.3
20.0,0.317,756.6,2171.9,855.2,2100.2,960.1,2063.4,1047.6,2085.3,1141.4,2062.8,1246.6,2102.9,1332.9,2166.8,1286.6,2173.7,1145.8,2154.4,1049.0,2165.9,960.7,2159.4,802.3,2175.3,802.3,2175.3,957.2,2163.8,1045.8,2170.9,1141.8,2159.7,1286.6,2173.7,1332.9,2166.8,1246.7,2247.6,1148.8,2282.7,1047.9,2295.5,954.0,2289.5,847.9,2256.5,756.6,2171.9
21.0,0.333,755.4,2171.9,854.1,2100.6,959.0,2064.0,1046.7,2085.9,1140.7,2063.3,1246.1,2103.5,1332.5,2167.1,1286.3,2174.0,1145.2,2155.0,1048.0,2166.5,959.5,2159.9,800.9,2175.2,800.9,2175.2,955.9,2163.8,1044.6,2171.0,1140.9,2159.7,1286.3,2174.0,1332.5,2167.1,1245.8,2247.7,1147.5,2282.8,1046.4,2295.5,952.4,2289.3,846.4,2256.2,755.4,2171.9
22.0,0.35,755.4,2171.1,854.4,2099.8,959.7,2063.1,1046.9,2085.1,1140.4,2062.6,1246.0,2102.7,1332.6,2166.4,1286.2,2173.4,1144.9,2154.4,1048.4,2165.8,960.3,2159.3,801.1,2174.6,801.1,2174.6,956.8,2163.8,1045.2,2170.9,1140.8,2159.7,1286.2,2173.4,1332.6,2166.4,1246.0,2247.6,1147.7,2282.9,1047.0,2295.6,953.4,2289.6,847.0,2256.4,755.4,2171.1
23.0,0.367,755.1,2170.0,854.5,2099.2,959.9,2062.5,1046.9,2084.3,1140.1,2061.9,1245.6,2101.8,1332.8,2165.0,1286.4,2172.3,1144.5,2153.8,1048.3,2165.3,960.3,2158.8,800.8,2173.7,800.8,2173.7,956.5,2162.1,1044.6,2169.2,1139.9,2158.1,1286.4,2172.3,1332.8,2165.0,1245.2,2246.5,1146.8,2281.7,1046.4,2294.4,953.1,2288.4,846.7,2255.4,755.1,2170.0
24.0,0.383,756.0,2169.1,855.2,2098.1,960.5,2061.4,1047.7,2083.3,1141.2,2060.8,1247.0,2100.8,1334.4,2164.3,1288.0,2171.3,1145.5,2152.9,1049.0,2164.3,960.9,2157.7,801.8,2172.5,801.8,2172.5,957.2,2161.2,1045.5,2168.4,1141.1,2157.4,1288.0,2171.3,1334.4,2164.3,1246.7,2245.3,1147.9,2280.7,1047.3,2293.3,953.8,2287.2,847.6,2253.9,756.0,2169.1
25.0,0.4,757.2,2167.7,856.5,2096.2,961.5,2059.9,1049.3,2082.0,1143.5,2059.3,1249.0,2099.2,1335.4,2162.8,1289.2,2169.7,1147.9,2151.5,1050.5,2163.0,961.9,2156.4,802.9,2171.1,802.9,2171.1,958.2,2160.0,1047.1,2167.3,1143.5,2156.0,1289.2,2169.7,1335.4,2162.8,1248.7,2243.9,1150.2,2279.5,1048.9,2292.3,954.7,2286.0,848.5,2252.4,757.2,2167.7
26.0,0.417,758.1,2165.8,857.1,2094.3,962.0,2058.4,1050.2,2080.5,1145.1,2057.8,1250.8,2097.5,1337.1,2161.0,1290.8,2167.8,1149.3,2149.3,1051.5,2160.8,962.4,2154.0,803.8,2169.0,803.8,2169.0,958.9,2159.6,1048.3,2167.0,1145.4,2155.8,1290.8,2167.8,1337.1,2161.0,1250.9,2242.2,1152.2,2278.5,1050.2,2291.4,955.6,2285.0,849.5,2251.0,758.1,2165.8
27.0,0.433,758.3,2163.5,857.1,2092.9,961.6,2056.9,1050.4,2078.9,1145.7,2056.1,1250.9,2096.2,1336.7,2159.1,1290.6,2165.9,1149.7,2147.3,1051.3,2158.9,961.8,2152.0,803.9,2166.6,803.9,2166.6,958.1,2157.2,1048.0,2164.9,1145.5,2153.8,1290.6,2165.9,1336.7,2159.1,1250.6,2240.6,1152.3,2276.4,1049.8,2289.0,954.8,2282.5,849.3,2248.3,758.3,2163.5
28.0,0.45,758.8,2161.8,857.7,2090.3,962.2,2054.2,1051.1,2076.1,1146.8,2053.4,1252.0,2093.7,1337.1,2157.3,1290.9,2164.0,1150.8,2144.6,1052.1,2156.1,962.3,2149.2,804.6,2165.0,804.6,2165.0,958.9,2155.3,1049.1,2163.0,1146.9,2151.8,1290.9,2164.0,1337.1,2157.3,1251.9,2238.6,1153.9,2274.2,1051.1,2286.9,955.7,2280.4,850.1,2246.4,758.8,2161.8
29.0,0.467,757.8,2159.7,857.4,2088.6,962.0,2052.2,1050.9,2074.2,1146.3,2051.5,1251.9,2092.0,1337.6,2155.5,1291.4,2162.1,1150.1,2143.2,1051.7,2154.8,961.9,2147.9,803.8,2162.8,803.8,2162.8,958.3,2152.9,1048.5,2160.7,1146.0,2149.9,1291.4,2162.1,1337.6,2155.5,1251.7,2237.4,1153.0,2272.9,1050.5,2285.2,955.2,2278.6,849.5,2244.4,757.8,2159.7
30.0,0.483,757.6,2157.5,857.0,2086.3,961.7,2049.7,1050.0,2071.9,1144.7,2049.1,1250.2,2089.8,1336.4,2153.5,1290.3,2160.0,1148.6,2141.3,1050.9,2152.6,961.6,2145.8,803.6,2160.6,803.6,2160.6,958.0,2150.3,1047.6,2158.0,1144.4,2147.4,1290.3,2160.0,1336.4,2153.5,1250.0,2235.1,1151.4,2270.5,1049.5,2282.8,954.8,2276.2,849.2,2242.0,757.6,2157.5
31.0,0.5,757.4,2156.4,856.8,2084.6,961.6,2048.1,1049.6,2070.3,1144.0,2047.5,1249.7,2087.9,1335.9,2152.3,1289.6,2158.7,1148.0,2139.8,1050.7,2151.2,961.8,2144.5,803.4,2159.5,803.4,2159.5,958.4,2148.7,1047.6,2156.2,1144.0,2145.5,1289.6,2158.7,1335.9,2152.3,1249.7,2233.6,1151.2,2269.0,1049.7,2281.3,955.2,2274.8,849.2,2241.1,757.4,2156.4
32.0,0.517,757.5,2155.3,856.3,2083.6,960.6,2047.2,1049.0,2069.4,1143.9,2046.6,1249.2,2087.3,1334.8,2151.6,1288.6,2157.9,1147.8,2138.4,1049.9,2149.8,960.7,2142.9,803.3,2158.3,803.3,2158.3,957.4,2147.6,1047.0,2155.3,1144.0,2144.4,1288.6,2157.9,1334.8,2151.6,1249.2,2232.2,1151.0,2267.2,1048.9,2279.6,954.2,2273.0,848.7,2239.3,757.5,2155.3
33.0,0.533,756.3,2155.1,856.0,2083.0,960.9,2046.4,1048.9,2068.4,1143.1,2045.7,1248.8,2086.4,1335.2,2151.1,1288.8,2157.6,1147.2,2137.6,1050.0,2149.1,961.2,2142.4,802.2,2158.4,802.2,2158.4,957.8,2146.8,1047.0,2154.2,1143.3,2143.5,1288.8,2157.6,1335.2,2151.1,1248.9,2232.0,1150.5,2266.6,1049.1,2279.0,954.7,2272.7,848.5,2239.6,756.3,2155.1
34.0,0.55,756.4,2154.8,856.5,2083.1,961.7,2046.3,1049.1,2068.2,1142.4,2045.4,1248.0,2086.0,1334.7,2150.3,1288.2,2157.1,1146.6,2137.9,1050.3,2149.5,962.0,2143.0,802.2,2158.3,802.2,2158.3,958.3,2145.5,1046.9,2152.7,1142.3,2141.9,1288.2,2157.1,1334.7,2150.3,1247.8,2231.7,1149.5,2266.1,1049.0,2278.5,955.2,2272.4,848.8,2239.6,756.4,2154.8
35.0,0.567,756.6,2155.6,856.3,2083.3,961.2,2046.1,1049.2,2068.0,1143.2,2045.3,1248.6,2086.1,1334.9,2150.7,1288.4,2157.4,1147.5,2137.9,1050.4,2149.4,961.6,2142.9,802.6,2158.8,802.6,2158.8,957.9,2145.2,1047.0,2152.3,1143.1,2141.6,1288.4,2157.4,1334.9,2150.7,1248.5,2231.2,1150.4,2265.7,1049.2,2278.0,954.9,2272.0,848.8,2239.5,756.6,2155.6
36.0,0.583,756.6,2155.4,856.9,2083.5,962.1,2046.3,1050.1,2067.9,1144.1,2045.4,1249.7,2086.1,1336.6,2150.5,1290.1,2157.3,1148.2,2137.5,1051.2,2149.0,962.4,2142.5,802.7,2158.8,802.7,2158.8,958.6,2145.5,1047.7,2152.7,1143.7,2142.2,1290.1,2157.3,1336.6,2150.5,1249.5,2231.1,1151.2,2265.2,1050.1,2277.2,955.9,2271.4,849.5,2238.9,756.6,2155.4
37.0,0.6,757.4,2155.3,857.7,2083.0,963.2,2045.8,1050.6,2067.4,1144.1,2045.0,1249.7,2086.0,1336.5,2150.7,1290.0,2157.4,1148.3,2137.2,1051.8,2148.3,963.5,2142.0,803.5,2158.7,803.5,2158.7,959.9,2145.6,1048.5,2152.7,1144.2,2142.2,1290.0,2157.4,1336.5,2150.7,1249.7,2231.3,1151.4,2265.0,1050.8,2276.9,957.0,2271.1,850.2,2238.7,757.4,2155.3
38.0,0.617,757.8,2155.1,858.5,2082.8,964.3,2045.4,1051.4,2067.2,1144.5,2044.7,1250.2,2085.6,1337.3,2150.5,1290.7,2157.4,1148.6,2137.2,1052.6,2148.4,964.6,2142.1,803.7,2158.8,803.7,2158.8,960.9,2144.7,1049.2,2151.8,1144.4,2141.3,1290.7,2157.4,1337.3,2150.5,1250.0,2231.1,1151.5,2264.8,1051.3,2276.9,957.9,2271.0,850.9,2238.9,757.8,2155.1
39.0,0.633,758.4,2155.5,858.7,2082.8,964.5,2045.3,1051.9,2067.1,1145.4,2044.6,1251.0,2085.8,1337.8,2150.9,1291.4,2157.7,1149.6,2136.9,1053.1,2148.1,964.8,2141.7,804.4,2159.0,804.4,2159.0,961.2,2145.5,1049.8,2152.6,1145.4,2142.0,1291.4,2157.7,1337.8,2150.9,1250.9,2231.2,1152.5,2265.0,1051.9,2277.1,958.2,2271.2,851.2,2239.0,758.4,2155.5
40.0,0.65,759.6,2154.7,859.5,2082.2,965.0,2045.4,1052.6,2067.4,1146.3,2045.0,1252.0,2085.7,1338.4,2150.6,1292.1,2157.1,1150.4,2137.3,1053.8,2148.5,965.3,2141.9,805.7,2158.0,805.7,2158.0,962.0,2145.8,1050.7,2153.0,1146.6,2142.4,1292.1,2157.1,1338.4,2150.6,1252.1,2231.2,1153.7,2265.6,1052.8,2277.8,958.8,2271.7,852.0,2238.8,759.6,2154.7
41.0,0.667,760.2,2154.8,859.9,2082.3,965.5,2045.4,1053.2,2067.3,1147.1,2044.9,1252.6,2085.7,1338.9,2150.7,1292.7,2157.3,1151.3,2137.4,1054.4,2148.6,965.8,2142.0,806.3,2158.1,806.3,2158.1,962.2,2145.9,1051.1,2153.1,1147.2,2142.3,1292.7,2157.3,1338.9,2150.7,1252.5,2231.4,1154.2,2265.8,1053.1,2278.0,959.0,2272.0,852.2,2239.1,760.2,2154.8
42.0,0.683,759.7,2154.7,859.9,2082.6,965.9,2045.2,1053.3,2067.1,1146.8,2044.9,1252.5,2085.6,1339.4,2150.2,1293.0,2157.3,1151.0,2137.3,1054.5,2148.4,966.1,2141.9,805.8,2158.2,805.8,2158.2,962.4,2145.4,1050.9,2152.6,1146.6,2142.0,1293.0,2157.3,1339.4,2150.2,1252.2,2231.1,1153.7,2265.6,1052.9,2277.7,959.2,2271.8,852.1,2239.0,759.7,2154.7
43.0,0.7,760.1,2154.7,859.5,2082.7,964.4,2045.1,1052.9,2066.9,1147.8,2044.7,1252.6,2085.9,1338.6,2150.4,1292.1,2157.6,1151.7,2137.1,1053.8,2148.2,964.4,2141.5,806.2,2158.3,806.2,2158.3,959.9,2145.4,1049.5,2152.9,1146.5,2142.1,1292.1,2157.6,1338.6,2150.4,1251.5,2230.7,1153.6,2264.9,1051.5,2276.9,956.8,2270.8,851.2,2238.0,760.1,2154.7
44.0,0.717,759.3,2154.3,859.3,2082.5,964.7,2044.7,1052.8,2066.2,1147.1,2044.3,1252.3,2085.2,1338.7,2149.5,1292.1,2156.9,1151.1,2136.9,1053.9,2147.8,964.7,2141.3,805.5,2158.1,805.5,2158.1,960.2,2144.6,1049.6,2151.9,1146.1,2141.4,1292.1,2156.9,1338.7,2149.5,1251.5,2230.2,1153.4,2264.2,1051.9,2276.1,957.5,2270.3,851.2,2237.8,759.3,2154.3
45.0,0.733,759.1,2153.9,858.7,2081.7,963.7,2044.0,1052.5,2065.7,1147.6,2043.4,1252.7,2084.5,1338.4,2149.2,1292.0,2156.3,1151.6,2136.2,1053.4,2147.4,963.7,2140.7,805.2,2157.4,805.2,2157.4,959.4,2144.1,1049.3,2151.5,1146.6,2140.7,1292.0,2156.3,1338.4,2149.2,1251.9,2229.6,1153.8,2264.2,1051.5,2276.4,956.5,2270.3,850.6,2237.4,759.1,2153.9
46.0,0.75,759.3,2153.5,858.4,2080.7,963.5,2043.2,1052.0,2064.9,1146.8,2042.6,1252.1,2083.6,1338.1,2148.5,1291.8,2155.2,1151.1,2135.2,1053.2,2146.2,963.9,2139.7,805.6,2156.5,805.6,2156.5,960.3,2143.6,1049.9,2150.8,1146.9,2140.1,1291.8,2155.2,1338.1,2148.5,1252.2,2228.2,1154.3,2262.7,1052.3,2274.8,957.6,2269.0,851.1,2236.5,759.3,2153.5
47.0,0.767,758.3,2152.8,857.7,2079.8,962.9,2042.2,1051.5,2063.9,1146.5,2041.6,1251.9,2082.6,1337.8,2147.8,1291.2,2154.6,1150.7,2134.4,1052.7,2145.6,963.1,2139.1,804.6,2156.0,804.6,2156.0,959.2,2142.8,1049.1,2150.1,1146.3,2139.3,1291.2,2154.6,1337.8,2147.8,1251.6,2227.7,1153.5,2262.3,1051.4,2274.5,956.4,2268.6,850.2,2235.9,758.3,2152.8
48.0,0.783,756.6,2151.7,857.0,2079.2,962.6,2041.2,1051.2,2062.5,1146.0,2040.3,1251.5,2081.3,1337.7,2146.1,1291.1,2153.5,1150.2,2132.5,1052.4,2143.8,962.9,2137.6,802.7,2155.5,802.7,2155.5,958.7,2142.3,1048.4,2149.3,1145.4,2138.3,1291.1,2153.5,1337.7,2146.1,1250.9,2226.7,1152.6,2260.8,1050.7,2273.0,955.8,2267.3,849.1,2235.1,756.6,2151.7
49.0,0.8,756.8,2150.1,857.0,2077.0,962.7,2039.3,1050.7,2061.0,1145.1,2038.6,1250.6,2079.8,1337.1,2145.1,1290.5,2152.3,1149.4,2131.2,1052.0,2142.5,963.0,2136.1,802.7,2153.7,802.7,2153.7,958.9,2140.5,1048.0,2147.6,1144.6,2136.7,1290.5,2152.3,1337.1,2145.1,1249.9,2225.6,1151.5,2259.8,1049.9,2272.1,955.6,2266.1,848.9,2233.6,756.8,2150.1
50.0,0.817,757.5,2148.2,857.6,2075.4,963.0,2037.9,1050.9,2059.3,1144.9,2037.1,1250.3,2078.1,1337.0,2143.0,1290.5,2150.1,1149.1,2129.3,1052.1,2140.4,963.3,2134.1,803.7,2151.6,803.7,2151.6,959.1,2139.7,1048.1,2146.7,1144.4,2136.0,1290.5,2150.1,1337.0,2143.0,1249.8,2223.9,1151.5,2258.1,1050.3,2270.1,956.2,2264.4,849.6,2231.9,757.5,2148.2
51.0,0.833,758.1,2146.9,857.5,2073.8,962.8,2036.1,1051.4,2057.7,1146.4,2035.4,1251.3,2077.0,1336.6,2142.2,1290.2,2149.3,1150.7,2127.9,1052.6,2139.1,963.1,2132.6,804.1,2150.5,804.1,2150.5,959.0,2137.2,1048.8,2144.4,1146.1,2133.4,1290.2,2149.3,1336.6,2142.2,1250.8,2222.4,1153.2,2256.1,1051.0,2268.2,956.0,2262.4,849.6,2230.0,758.1,2146.9
52.0,0.85,758.4,2145.7,857.9,2072.3,963.3,2034.2,1051.9,2055.7,1146.8,2033.6,1252.1,2075.1,1337.5,2140.6,1291.2,2147.6,1151.0,2126.0,1053.1,2137.0,963.6,2130.6,804.6,2149.1,804.6,2149.1,959.6,2136.5,1049.4,2143.7,1146.6,2132.9,1291.2,2147.6,1337.5,2140.6,1251.8,2220.9,1154.0,2254.9,1051.9,2266.9,956.9,2261.2,850.3,2228.8,758.4,2145.7
53.0,0.867,759.2,2143.9,858.6,2070.6,964.2,2032.5,1052.5,2054.0,1147.1,2031.9,1252.4,2073.5,1338.2,2138.9,1291.8,2145.9,1151.4,2124.3,1053.8,2135.2,964.6,2128.8,805.4,2147.3,805.4,2147.3,960.8,2134.9,1050.3,2142.1,1147.2,2131.3,1291.8,2145.9,1338.2,2138.9,1252.3,2219.1,1154.5,2253.3,1052.7,2265.3,958.1,2259.6,851.2,2227.1,759.2,2143.9
54.0,0.883,759.2,2142.8,859.4,2069.7,965.3,2031.2,1053.3,2052.6,1147.6,2030.5,1252.8,2072.2,1339.4,2137.5,1292.7,2144.7,1151.8,2123.2,1054.6,2134.0,965.7,2127.8,805.3,2146.4,805.3,2146.4,961.6,2132.7,1050.7,2139.8,1147.2,2129.2,1292.7,2144.7,1339.4,2137.5,1252.4,2217.6,1154.5,2251.5,1053.1,2263.4,958.9,2258.0,851.8,2226.0,759.2,2142.8
