frame,timestamp,upper_x_0,upper_y_0,upper_x_1,upper_y_1,upper_x_2,upper_y_2,upper_x_3,upper_y_3,upper_x_4,upper_y_4,upper_x_5,upper_y_5,upper_x_6,upper_y_6,upper_x_7,upper_y_7,upper_x_8,upper_y_8,upper_x_9,upper_y_9,upper_x_10,upper_y_10,upper_x_11,upper_y_11,lower_x_0,lower_y_0,lower_x_1,lower_y_1,lower_x_2,lower_y_2,lower_x_3,lower_y_3,lower_x_4,lower_y_4,lower_x_5,lower_y_5,lower_x_6,lower_y_6,lower_x_7,lower_y_7,lower_x_8,lower_y_8,lower_x_9,lower_y_9,lower_x_10,lower_y_10,lower_x_11,lower_y_11
1.0,0.0,839.1,2037.8,927.5,1979.5,1019.9,1953.0,1098.0,1972.6,1181.8,1952.3,1280.2,1984.7,1365.0,2033.8,1324.5,2038.8,1185.9,2031.8,1099.4,2041.1,1020.6,2034.9,879.0,2039.4,879.0,2039.4,1017.7,2040.0,1097.1,2047.5,1182.8,2040.2,1324.5,2038.8,1365.0,2033.8,1283.7,2109.1,1189.3,2143.1,1099.1,2152.4,1015.3,2146.0,920.8,2112.0,839.1,2037.8
2.0,0.017,836.5,2035.3,924.7,1978.5,1018.7,1954.7,1096.7,1975.1,1181.1,1954.2,1279.8,1984.6,1364.5,2032.1,1324.7,2036.0,1186.1,2031.9,1098.9,2041.6,1020.5,2034.7,876.2,2036.7,876.2,2036.7,1021.2,2036.9,1100.6,2044.2,1186.7,2036.3,1324.7,2036.0,1364.5,2032.1,1286.5,2105.6,1193.6,2140.2,1103.1,2150.6,1019.0,2144.4,921.0,2111.2,836.5,2035.3
3.0,0.033,835.9,2034.0,924.6,1978.2,1018.7,1954.2,1096.5,1974.7,1180.8,1953.7,1279.4,1984.4,1363.7,2031.1,1323.9,2035.4,1185.7,2031.1,1098.7,2040.9,1020.5,2034.0,875.4,2035.9,875.4,2035.9,1021.1,2036.7,1100.3,2044.2,1186.2,2035.9,1323.9,2035.4,1363.7,2031.1,1285.7,2106.1,1193.4,2141.0,1103.0,2151.7,1019.0,2145.3,920.7,2111.6,835.9,2034.0
4.0,0.05,835.5,2034.0,924.0,1978.4,1018.5,1953.9,1096.1,1974.3,1180.6,1953.4,1278.7,1984.0,1363.2,2030.9,1323.4,2035.3,1185.5,2030.5,1098.4,2040.3,1020.2,2033.4,874.8,2035.8,874.8,2035.8,1020.7,2036.6,1099.7,2043.9,1185.8,2035.7,1323.4,2035.3,1363.2,2030.9,1284.7,2104.7,1192.5,2139.5,1102.1,2150.1,1018.2,2144.0,920.0,2110.7,835.5,2034.0
5.0,0.067,835.2,2032.8,924.7,1978.1,1019.1,1953.9,1096.7,1974.2,1180.8,1953.3,1279.2,1983.6,1364.2,2029.4,1324.3,2033.9,1185.5,2030.4,1098.7,2040.3,1020.7,2033.6,874.7,2034.7,874.7,2034.7,1020.7,2035.5,1099.6,2043.0,1185.3,2034.8,1324.3,2033.9,1364.2,2029.4,1284.9,2104.1,1192.1,2139.1,1102.0,2149.6,1018.3,2143.4,920.4,2109.6,835.2,2032.8
6.0,0.083,836.3,2032.3,925.6,1976.9,1019.9,1952.8,1097.2,1972.8,1180.5,1952.0,1279.5,1982.1,1365.3,2028.6,1325.4,2032.9,1185.3,2029.3,1099.2,2039.2,1021.5,2032.7,875.9,2033.9,875.9,2033.9,1021.6,2035.1,1100.2,2042.4,1185.1,2034.7,1325.4,2032.9,1365.3,2028.6,1285.7,2104.0,1192.2,2138.4,1102.8,2148.5,1019.5,2142.4,921.5,2109.1,836.3,2032.3
7.0,0.1,837.3,2030.7,926.8,1976.1,1021.2,1952.4,1097.9,1972.4,1180.9,1951.7,1280.2,1981.7,1366.3,2027.1,1326.4,2031.5,1185.6,2028.5,1099.9,2038.2,1022.6,2031.6,876.8,2032.4,876.8,2032.4,1022.8,2034.6,1101.0,2042.2,1185.6,2034.6,1326.4,2031.5,1366.3,2027.1,1286.4,2103.2,1192.6,2138.0,1103.5,2147.9,1020.6,2141.6,922.7,2107.6,837.3,2030.7
8.0,0.117,838.8,2029.8,928.2,1974.5,1022.6,1950.5,1099.7,1970.6,1183.3,1949.7,1282.4,1979.6,1368.4,2025.7,1328.3,2030.2,1188.1,2027.4,1101.9,2037.2,1024.2,2030.6,878.5,2031.6,878.5,2031.6,1024.4,2032.5,1103.0,2039.8,1188.2,2031.9,1328.3,2030.2,1368.4,2025.7,1288.7,2100.7,1195.2,2135.8,1105.6,2146.1,1022.3,2140.1,924.2,2106.7,838.8,2029.8
9.0,0.133,838.4,2029.1,928.7,1973.1,1023.2,1949.6,1099.9,1969.5,1182.6,1948.5,1282.4,1978.3,1369.2,2024.6,1329.1,2028.9,1187.6,2026.3,1102.2,2036.3,1024.9,2030.0,878.4,2030.6,878.4,2030.6,1025.0,2031.9,1103.2,2039.0,1187.5,2031.3,1329.1,2028.9,1369.2,2024.6,1289.0,2100.8,1194.8,2135.7,1106.0,2145.8,1023.1,2139.8,924.6,2106.3,838.4,2029.1
10.0,0.15,837.0,2027.0,927.3,1971.6,1022.4,1947.8,1099.0,1967.7,1181.6,1946.9,1281.5,1977.0,1368.8,2023.3,1328.7,2027.7,1186.4,2023.7,1101.0,2033.6,1023.9,2027.2,876.7,2028.7,876.7,2028.7,1024.1,2031.2,1102.2,2038.4,1186.4,2030.8,1328.7,2027.7,1368.8,2023.3,1287.9,2099.6,1193.4,2133.8,1104.7,2143.6,1022.0,2137.7,923.1,2104.3,837.0,2027.0
11.0,0.167,835.6,2026.0,925.4,1971.1,1020.4,1947.0,1097.2,1967.3,1180.6,1946.6,1280.0,1977.0,1366.5,2023.1,1326.4,2027.5,1185.3,2023.9,1099.3,2033.5,1021.9,2026.8,875.3,2027.8,875.3,2027.8,1022.3,2029.6,1100.6,2037.0,1185.5,2029.4,1326.4,2027.5,1366.5,2023.1,1286.2,2098.6,1192.4,2133.3,1103.0,2143.3,1019.9,2137.1,921.3,2103.2,835.6,2026.0
12.0,0.183,832.9,2025.5,923.3,1970.8,1018.5,1946.6,1095.1,1966.8,1178.1,1946.1,1277.8,1976.3,1365.3,2022.2,1324.9,2026.8,1182.9,2023.7,1097.2,2033.3,1020.0,2026.8,872.6,2027.4,872.6,2027.4,1019.8,2029.5,1097.9,2036.8,1182.5,2029.1,1324.9,2026.8,1365.3,2022.2,1283.6,2097.9,1189.1,2132.7,1100.0,2142.7,1017.3,2136.6,918.8,2102.8,832.9,2025.5
13.0,0.2,832.9,2024.7,923.0,1970.7,1018.3,1946.5,1094.7,1967.1,1177.8,1946.3,1276.9,1976.6,1364.0,2022.2,1323.6,2026.6,1182.5,2023.9,1096.7,2033.4,1019.7,2026.5,872.6,2026.5,872.6,2026.5,1020.1,2028.9,1098.0,2036.3,1182.8,2028.7,1323.6,2026.6,1364.0,2022.2,1282.9,2097.5,1189.2,2132.5,1100.1,2142.6,1017.4,2136.6,918.7,2102.6,832.9,2024.7
14.0,0.217,832.1,2024.3,922.2,1970.0,1017.2,1946.2,1093.8,1966.5,1177.2,1945.9,1276.6,1975.7,1363.8,2021.1,1323.4,2025.8,1182.1,2022.9,1096.0,2032.3,1018.9,2025.5,871.7,2026.3,871.7,2026.3,1018.9,2029.8,1097.1,2037.1,1182.3,2029.4,1323.4,2025.8,1363.8,2021.1,1282.7,2096.5,1188.8,2131.9,1099.3,2141.9,1016.4,2136.0,917.8,2102.1,832.1,2024.3
15.0,0.233,831.0,2023.1,921.8,1969.2,1016.8,1945.8,1093.7,1965.9,1177.2,1945.1,1276.4,1974.6,1363.5,2019.7,1323.2,2024.4,1181.9,2022.1,1095.7,2031.9,1018.3,2025.2,870.7,2025.1,870.7,2025.1,1018.2,2028.1,1096.5,2035.4,1181.6,2027.5,1323.2,2024.4,1363.5,2019.7,1282.2,2095.5,1188.1,2130.7,1098.6,2140.9,1015.6,2134.9,917.0,2101.1,831.0,2023.1
16.0,0.25,830.9,2021.7,921.3,1969.0,1016.7,1945.3,1093.6,1965.8,1177.6,1945.0,1276.0,1974.8,1362.7,2018.9,1322.6,2024.0,1182.3,2022.0,1095.7,2031.5,1018.2,2024.4,870.3,2024.1,870.3,2024.1,1017.9,2027.7,1096.3,2035.1,1181.8,2027.1,1322.6,2024.0,1362.7,2018.9,1281.5,2094.7,1188.2,2130.4,1098.2,2140.7,1015.2,2134.7,916.3,2100.5,830.9,2021.7
17.0,0.267,829.8,2021.2,920.8,1968.7,1016.7,1945.0,1092.8,1965.3,1175.6,1944.3,1274.7,1974.0,1362.8,2017.9,1322.5,2022.9,1180.5,2021.0,1094.9,2030.8,1018.3,2024.0,869.1,2023.4,869.1,2023.4,1018.3,2027.8,1095.8,2035.1,1180.2,2027.2,1322.5,2022.9,1362.8,2017.9,1280.5,2094.7,1186.5,2130.1,1097.8,2140.3,1015.6,2134.5,916.2,2100.3,829.8,2021.2
18.0,0.283,829.8,2021.1,919.8,1968.3,1015.4,1944.5,1091.9,1964.8,1175.2,1944.2,1274.2,1973.6,1361.6,2018.1,1321.4,2023.0,1180.1,2020.8,1094.2,2030.2,1017.1,2023.3,869.1,2023.3,869.1,2023.3,1017.4,2028.0,1095.4,2035.2,1180.4,2027.3,1321.4,2023.0,1361.6,2018.1,1280.4,2093.9,1186.8,2129.4,1097.5,2139.6,1014.8,2133.9,915.5,2099.9,829.8,2021.1
19.0,0.3,830.0,2020.5,920.4,1967.9,1016.2,1944.2,1092.3,1964.5,1175.2,1943.9,1274.2,1973.4,1361.6,2017.4,1321.5,2022.4,1180.2,2020.5,1094.6,2029.8,1018.0,2023.0,869.3,2022.9,869.3,2022.9,1018.2,2027.2,1095.8,2034.4,1180.5,2026.5,1321.5,2022.4,1361.6,2017.4,1280.4,2093.4,1187.0,2129.0,1098.0,2139.2,1015.7,2133.5,916.1,2099.5,830.0,2020.5
20.0,0.317,830.3,2019.5,921.6,1966.8,1017.6,1943.4,1092.7,1963.6,1174.5,1943.1,1274.2,1972.6,1362.9,2016.4,1322.6,2021.6,1179.4,2019.9,1095.0,2029.3,1019.3,2022.7,869.7,2022.0,869.7,2022.0,1019.2,2026.4,1095.8,2033.6,1179.3,2026.0,1322.6,2021.6,1362.9,2016.4,1280.2,2093.9,1185.8,2129.2,1098.0,2139.1,1016.6,2133.2,917.0,2098.9,830.3,2019.5
21.0,0.333,830.8,2019.9,922.1,1967.2,1018.0,1943.5,1093.8,1963.4,1176.1,1942.6,1275.5,1972.1,1363.5,2015.8,1323.3,2020.8,1181.1,2019.4,1096.0,2029.2,1019.8,2022.7,870.4,2022.1,870.4,2022.1,1020.1,2025.8,1097.4,2032.9,1181.3,2025.0,1323.3,2020.8,1363.5,2015.8,1281.9,2092.9,1187.9,2128.4,1099.7,2138.6,1017.6,2133.0,917.9,2099.0,830.8,2019.9
