frame,timestamp,upper_x_0,upper_y_0,upper_x_1,upper_y_1,upper_x_2,upper_y_2,upper_x_3,upper_y_3,upper_x_4,upper_y_4,upper_x_5,upper_y_5,upper_x_6,upper_y_6,upper_x_7,upper_y_7,upper_x_8,upper_y_8,upper_x_9,upper_y_9,upper_x_10,upper_y_10,upper_x_11,upper_y_11,lower_x_0,lower_y_0,lower_x_1,lower_y_1,lower_x_2,lower_y_2,lower_x_3,lower_y_3,lower_x_4,lower_y_4,lower_x_5,lower_y_5,lower_x_6,lower_y_6,lower_x_7,lower_y_7,lower_x_8,lower_y_8,lower_x_9,lower_y_9,lower_x_10,lower_y_10,lower_x_11,lower_y_11
1.0,0.0,766.6,2141.9,876.9,2080.4,993.2,2042.9,1088.2,2065.7,1189.7,2039.5,1311.1,2073.8,1414.8,2125.2,1366.0,2137.4,1196.1,2140.2,1091.3,2155.1,995.0,2148.1,816.7,2148.7,816.7,2148.7,989.6,2145.2,1085.9,2152.9,1189.7,2139.8,1366.0,2137.4,1414.8,2125.2,1313.8,2227.7,1201.3,2274.4,1091.5,2289.9,990.1,2283.7,871.5,2241.9,766.6,2141.9
2.0,0.017,765.9,2138.5,878.5,2077.4,996.4,2041.0,1088.9,2063.2,1187.6,2036.7,1310.0,2070.6,1416.9,2121.7,1367.9,2133.5,1194.1,2136.0,1091.9,2151.4,998.2,2144.9,815.6,2145.4,815.6,2145.4,993.7,2140.0,1087.5,2146.9,1188.4,2133.8,1367.9,2133.5,1416.9,2121.7,1313.2,2223.8,1199.4,2267.5,1092.7,2282.8,993.6,2277.3,873.2,2237.9,765.9,2138.5
3.0,0.033,767.9,2138.3,879.8,2076.9,997.8,2041.1,1090.6,2063.2,1189.4,2036.7,1311.5,2070.2,1417.5,2121.0,1368.8,2132.4,1196.2,2134.8,1094.1,2150.0,1000.2,2143.5,817.6,2145.0,817.6,2145.0,996.8,2140.1,1090.9,2146.7,1192.1,2133.5,1368.8,2132.4,1417.5,2121.0,1316.3,2223.0,1203.7,2266.4,1096.8,2281.7,997.3,2276.7,875.6,2238.0,767.9,2138.3
4.0,0.05,769.3,2137.0,880.8,2075.4,998.4,2040.4,1091.7,2062.5,1191.1,2036.2,1312.7,2069.6,1417.4,2120.6,1369.2,2131.7,1197.7,2132.9,1095.0,2148.0,1000.6,2141.3,818.9,2143.6,818.9,2143.6,997.3,2141.3,1092.0,2148.2,1193.9,2135.0,1369.2,2131.7,1417.4,2120.6,1317.7,2223.0,1205.7,2266.3,1098.1,2281.5,998.1,2276.1,876.5,2236.9,769.3,2137.0
5.0,0.067,769.0,2137.6,881.5,2075.5,999.6,2039.9,1092.1,2061.7,1190.5,2035.5,1312.5,2069.0,1417.7,2120.2,1369.5,2131.5,1197.3,2132.8,1095.5,2147.8,1001.9,2141.5,818.7,2144.4,818.7,2144.4,998.5,2140.6,1092.5,2147.3,1193.3,2134.3,1369.5,2131.5,1417.7,2120.2,1317.5,2222.7,1205.3,2265.6,1098.7,2280.6,999.5,2275.6,877.4,2237.0,769.0,2137.6
6.0,0.083,770.1,2137.7,882.7,2075.2,1000.5,2039.9,1092.5,2061.8,1190.2,2035.4,1311.9,2068.8,1417.6,2120.2,1369.3,2131.2,1197.0,2133.2,1095.8,2148.5,1002.8,2142.2,819.8,2144.0,819.8,2144.0,999.2,2140.3,1092.5,2147.1,1192.4,2134.1,1369.3,2131.2,1417.6,2120.2,1316.7,2223.5,1204.0,2266.4,1098.3,2281.3,999.7,2276.1,878.0,2236.9,770.1,2137.7
7.0,0.1,769.8,2138.8,881.9,2075.8,999.3,2040.4,1092.1,2062.3,1190.9,2036.0,1312.2,2069.5,1416.9,2121.3,1368.5,2132.3,1197.7,2133.6,1095.5,2148.7,1001.6,2142.3,819.7,2145.3,819.7,2145.3,997.9,2140.4,1092.1,2147.1,1193.3,2133.9,1368.5,2132.3,1416.9,2121.3,1316.9,2222.9,1205.1,2265.9,1098.2,2280.9,998.7,2275.9,877.4,2237.5,769.8,2138.8
8.0,0.117,767.7,2139.7,879.7,2077.7,997.5,2042.0,1089.4,2064.0,1187.4,2037.6,1308.4,2071.2,1413.7,2122.1,1365.4,2133.2,1194.3,2135.6,1092.8,2150.6,999.9,2144.3,817.3,2146.0,817.3,2146.0,996.6,2141.4,1089.8,2148.0,1190.1,2134.8,1365.4,2133.2,1413.7,2122.1,1313.2,2223.9,1201.4,2267.3,1095.5,2282.5,996.9,2277.5,875.3,2238.8,767.7,2139.7
9.0,0.133,762.3,2143.1,873.7,2080.3,990.7,2044.6,1083.7,2066.5,1182.8,2040.0,1303.7,2073.5,1408.6,2125.1,1360.2,2136.1,1189.7,2138.3,1087.1,2153.3,993.1,2147.0,812.1,2149.0,812.1,2149.0,989.3,2144.4,1083.5,2151.0,1185.0,2137.7,1360.2,2136.1,1408.6,2125.1,1308.1,2225.9,1196.0,2269.5,1088.9,2284.5,989.4,2279.5,868.8,2240.8,762.3,2143.1
10.0,0.15,756.9,2145.5,867.6,2082.6,984.3,2046.6,1077.8,2068.7,1177.7,2042.2,1298.3,2076.0,1402.6,2127.7,1354.1,2138.7,1184.4,2140.8,1081.1,2155.7,986.5,2149.3,806.6,2151.3,806.6,2151.3,982.3,2147.2,1077.1,2154.1,1179.3,2140.8,1354.1,2138.7,1402.6,2127.7,1302.3,2229.0,1190.3,2273.3,1082.5,2288.4,982.4,2283.2,862.4,2243.7,756.9,2145.5
