frame,timestamp,upper_x_0,upper_y_0,upper_x_1,upper_y_1,upper_x_2,upper_y_2,upper_x_3,upper_y_3,upper_x_4,upper_y_4,upper_x_5,upper_y_5,upper_x_6,upper_y_6,upper_x_7,upper_y_7,upper_x_8,upper_y_8,upper_x_9,upper_y_9,upper_x_10,upper_y_10,upper_x_11,upper_y_11,lower_x_0,lower_y_0,lower_x_1,lower_y_1,lower_x_2,lower_y_2,lower_x_3,lower_y_3,lower_x_4,lower_y_4,lower_x_5,lower_y_5,lower_x_6,lower_y_6,lower_x_7,lower_y_7,lower_x_8,lower_y_8,lower_x_9,lower_y_9,lower_x_10,lower_y_10,lower_x_11,lower_y_11
1.0,0.0,745.2,1975.1,838.2,1901.8,936.2,1867.5,1020.6,1886.2,1108.9,1862.6,1219.4,1899.3,1315.9,1960.1,1269.5,1963.1,1115.3,1951.5,1023.7,1963.9,939.3,1960.2,789.3,1973.4,789.3,1973.4,936.7,1965.9,1022.0,1971.9,1112.6,1962.9,1269.5,1963.1,1315.9,1960.1,1225.9,2039.0,1121.2,2072.4,1025.5,2083.0,936.2,2078.5,834.8,2046.7,745.2,1975.1
2.0,0.017,743.2,1975.2,834.7,1901.5,932.8,1868.5,1017.7,1887.0,1107.2,1863.0,1217.1,1899.5,1313.0,1959.6,1266.7,1962.2,1114.6,1950.2,1021.6,1962.7,937.0,1959.0,786.8,1973.1,786.8,1973.1,936.2,1963.7,1022.0,1969.0,1114.0,1958.9,1266.7,1962.2,1313.0,1959.6,1225.6,2035.9,1122.9,2068.8,1026.1,2080.4,936.0,2076.7,833.0,2046.7,743.2,1975.2
3.0,0.033,739.9,1977.6,830.7,1903.5,929.0,1870.8,1014.8,1889.4,1105.8,1864.9,1215.3,1901.0,1310.0,1961.4,1264.1,1964.0,1113.6,1953.1,1019.3,1965.8,933.6,1962.1,783.5,1975.7,783.5,1975.7,934.0,1965.0,1020.9,1970.0,1114.3,1959.5,1264.1,1964.0,1310.0,1961.4,1225.2,2036.5,1123.3,2069.7,1025.2,2081.7,933.9,2078.3,829.9,2049.0,739.9,1977.6
4.0,0.05,740.7,1979.5,830.0,1905.3,927.2,1873.4,1014.1,1892.0,1106.5,1867.1,1215.0,1902.4,1307.2,1962.8,1261.7,1964.9,1114.2,1954.4,1018.6,1967.5,932.0,1963.5,784.0,1977.2,784.0,1977.2,933.5,1968.1,1021.6,1973.4,1116.3,1962.4,1261.7,1964.9,1307.2,1962.8,1226.0,2037.6,1125.6,2071.6,1026.1,2084.1,933.7,2080.6,830.1,2051.2,740.7,1979.5
5.0,0.067,741.4,1979.6,831.1,1905.9,928.4,1873.9,1014.6,1892.4,1105.8,1868.1,1215.1,1903.2,1308.3,1963.1,1262.6,1965.6,1113.5,1955.7,1019.0,1968.6,932.9,1964.7,784.9,1977.6,784.9,1977.6,933.7,1969.2,1021.1,1974.5,1114.8,1963.9,1262.6,1965.6,1308.3,1963.1,1225.6,2039.1,1124.1,2073.2,1025.6,2085.4,934.0,2081.7,830.8,2051.8,741.4,1979.6
6.0,0.083,741.0,1979.2,831.9,1907.0,930.2,1874.8,1015.8,1893.2,1106.6,1868.5,1215.6,1904.0,1309.7,1962.7,1264.3,1965.7,1114.3,1955.4,1020.1,1968.5,934.8,1964.7,783.9,1977.8,783.9,1977.8,935.5,1970.4,1022.2,1975.5,1115.3,1964.9,1264.3,1965.7,1309.7,1962.7,1225.8,2039.6,1124.3,2073.5,1026.4,2085.9,935.4,2082.5,831.2,2052.6,741.0,1979.2
7.0,0.1,741.2,1979.0,831.6,1906.6,929.5,1875.1,1015.2,1893.5,1106.0,1869.0,1215.4,1903.7,1309.5,1962.2,1264.1,1965.2,1113.9,1956.1,1019.7,1969.1,934.2,1965.3,784.4,1977.4,784.4,1977.4,934.8,1970.7,1021.7,1975.8,1115.0,1964.9,1264.1,1965.2,1309.5,1962.2,1225.8,2039.2,1123.9,2073.6,1025.9,2086.0,934.8,2082.5,831.0,2052.6,741.2,1979.0
8.0,0.117,739.5,1978.4,830.1,1906.8,928.2,1875.5,1014.1,1894.0,1104.9,1869.5,1214.7,1903.8,1309.5,1961.8,1263.9,1964.6,1112.8,1956.6,1018.6,1969.7,932.9,1965.7,782.8,1976.6,782.8,1976.6,933.8,1970.3,1020.8,1975.5,1114.1,1964.7,1263.9,1964.6,1309.5,1961.8,1225.3,2038.7,1123.0,2073.3,1024.9,2085.6,933.7,2082.1,829.7,2051.8,739.5,1978.4
9.0,0.133,736.5,1978.4,827.3,1906.4,926.0,1875.0,1011.4,1893.5,1102.2,1868.8,1212.1,1903.9,1307.4,1962.0,1262.1,1964.9,1110.1,1955.2,1015.9,1968.2,930.7,1964.3,779.4,1976.8,779.4,1976.8,931.9,1970.7,1018.5,1975.8,1111.6,1965.0,1262.1,1964.9,1307.4,1962.0,1222.8,2038.9,1120.4,2073.1,1022.5,2085.6,931.6,2082.1,826.9,2052.0,736.5,1978.4
10.0,0.15,734.4,1978.9,825.1,1906.4,923.6,1874.9,1009.1,1893.2,1099.8,1868.8,1209.6,1903.4,1304.7,1962.1,1259.2,1965.0,1107.8,1955.4,1013.8,1968.4,928.4,1964.6,777.6,1977.3,777.6,1977.3,929.4,1970.8,1016.1,1975.8,1109.3,1965.0,1259.2,1965.0,1304.7,1962.1,1220.4,2038.7,1118.1,2073.0,1020.3,2085.4,929.3,2082.1,824.7,2052.4,734.4,1978.9
